Target_genes,Score
EIF1B,290.0
RPS3,289.428571
ZBTB2,288.571429
PLEKHG6,288.571429
CERS3,287.571429
IL33,287.0
PIK3C2A,286.71428599999996
OTX2,286.71428599999996
IGF1,286.71428599999996
RAB15,286.571429
FNTB,286.571429
PSORS1C2,286.428571
BIN2,286.28571400000004
ADI1,286.0
FLVCR2,284.857143
MYO5C,284.428571
SAXO1,282.857143
ESRP1,282.571429
OSTN,282.142857
IQCF1,282.142857
GYPC,281.857143
REEP1,281.71428599999996
SNAPC1,281.0
GPR160,280.71428599999996
BTG2,280.428571
ZFP3,280.28571400000004
NANOG,279.857143
BTG1,279.571429
PIK3R6,279.28571400000004
PTPN2,279.142857
IL4R,278.71428599999996
C17orf64,278.0
SULF1,277.857143
CA13,277.428571
C1orf198,277.428571
PROM1,276.71428599999996
SLC35C1,276.571429
PEF1,276.571429
PAN3,276.28571400000004
PHAX,275.571429
ALDH7A1,275.571429
MSTO1,275.28571400000004
RNF214,275.142857
PCSK7,275.142857
SSB,274.857143
HECW2,274.428571
PER2,274.28571400000004
TSGA10IP,273.857143
PAAF1,273.28571400000004
COA4,273.28571400000004
ISG20,273.142857
PTAR1,273.0
GPR151,273.0
FAM83A,272.428571
ZNF853,272.0
AGO1,271.857143
TNFAIP8,271.571429
IFRD1,271.142857
CCDC54,270.28571400000004
FGFR2,270.142857
CEBPZ,269.571429
SAXO2,269.142857
MOG,269.142857
FBLL1,269.142857
EFL1,269.142857
GCNT1,268.71428599999996
GRPR,268.28571400000004
BBC3,268.142857
GAS2L3,267.28571400000004
FLNB,267.28571400000004
JPT1,267.142857
TCEA1,267.0
PTPN12,267.0
ANAPC4,266.71428599999996
FKBP9,265.857143
PPP1R13B,265.571429
CFLAR,265.0
PHC1,264.571429
STMN1,263.71428599999996
UBR3,263.571429
METTL5,263.571429
EPHB3,263.571429
RABL2B,262.71428599999996
TCP1,262.428571
RPL14,262.428571
PNLDC1,262.428571
MRPL18,262.428571
UTS2R,262.0
ANKRD1,261.571429
TIE1,261.428571
NR2F6,261.428571
C1orf210,261.428571
SLMAP,261.28571400000004
NEPRO,261.28571400000004
TMEM52B,260.28571400000004
OLR1,260.28571400000004
DDIT4,260.142857
MSC,259.857143
ERVW-1,259.857143
PYGB,259.71428599999996
GJA5,259.428571
WDPCP,259.0
MDH1,259.0
TERF1,258.71428599999996
DENR,257.857143
RASD1,257.0
TATDN1,255.857143
NDUFB9,255.857143
NR1I2,255.714286
YTHDF1,255.428571
S100A2,255.285714
CCDC124,254.857143
DEFB131A,254.571429
STARD8,254.428571
MTMR2,254.142857
TNS3,254.0
PLSCR2,253.428571
GAL3ST2,253.428571
ZNF83,252.857143
TSPAN13,252.571429
BPIFA2,252.428571
SYT2,251.857143
NKX6-3,251.857143
ANK1,251.857143
DDX46,251.714286
MORC1,251.285714
POU5F1,250.571429
RGS22,250.285714
NSA2,250.142857
GFM2,250.142857
FAR1,250.0
PPP1R16B,249.571429
PRDX1,249.428571
UBE2Z,249.285714
ATP5MC1,249.285714
PON3,249.142857
SLC66A3,248.857143
SPATA45,248.428571
FLVCR1,248.428571
TRIM8,248.0
STX16,247.714286
NOL12,247.571429
LGALS1,247.571429
SHC1,247.428571
FLAD1,247.428571
CKS1B,247.428571
CRY1,247.142857
SLC16A6,246.428571
ARSG,246.428571
SLC39A1,246.285714
RNF187,246.285714
JTB,246.285714
CREB3L4,246.285714
MSX2,246.142857
LAMA4,246.0
RPUSD3,245.571429
MS4A12,245.571429
IMPA2,245.428571
DYNLL2,245.428571
C9orf72,245.428571
GNG3,244.571429
BSCL2,244.571429
OR7C1,244.285714
OR7A5,244.285714
OR7A10,244.285714
KCNN2,244.142857
ADGRF3,243.714286
SULT1B1,243.285714
UBTD2,243.0
RGS20,243.0
MRGPRX3,243.0
GREM2,242.714286
GALNT16,242.714286
DTX2,242.0
KRT6A,241.714286
C8orf76,241.714286
FRAT1,241.571429
HDAC9,241.142857
DDIT4L,240.714286
CYB561D1,240.714286
AMIGO1,240.714286
NCBP2AS2,240.142857
NCBP2,240.142857
GSTA3,240.142857
PHLDA3,239.857143
ZNF740,239.714286
CSAD,239.714286
LOC102724770,239.571429
DGCR6,239.571429
BCL2L1,239.571429
SLC16A10,239.285714
CACNB2,239.285714
PCDHB14,239.0
PCDHB13,239.0
PCDHB12,239.0
SLC17A6,238.285714
TDRD7,238.142857
DACT1,238.142857
SBNO1,237.857143
PPP1R3B,236.857143
ANKDD1B,236.857143
NOTCH2NLC,236.714286
SOCS3,236.285714
ARHGEF38,236.0
VENTX,235.857143
UTF1,235.857143
LOXHD1,235.428571
NPR2,235.142857
UNC119,235.0
PAK6,234.714286
NUBPL,234.714286
SENP5,234.571429
SYVN1,234.428571
ETV7,234.428571
DOK7,234.428571
STARD13,234.285714
RAPGEF2,234.142857
ZP2,233.857143
NAA40,233.857143
TCHP,233.285714
ZSCAN2,233.142857
NKX1-2,232.428571
LHPP,232.428571
FBXL19,232.428571
VWA5B2,232.142857
OR6J1,232.142857
NES,232.142857
CSRP1,232.142857
ADAMTSL4,231.142857
SPANXN3,230.571429
HLA-F,230.571429
CSNK1D,230.571429
BLOC1S2,230.571429
SLAMF1,230.428571
NOL7,230.428571
ATP1A4,230.428571
CNP,230.142857
ZNF624,230.0
ID1,229.857143
HILPDA,229.714286
RNASE10,229.428571
GRWD1,229.142857
EXOSC6,229.142857
KIF20A,229.0
BRD8,229.0
SOX15,228.714286
TEKT3,228.428571
ADAMTS7,228.428571
ZNF823,227.857143
SYN1,227.714286
RFC1,227.714286
MIF,227.714286
CFP,227.714286
SPATA4,227.571429
RBM47,227.571429
LRRN3,227.285714
GRAMD2B,227.285714
MFSD13A,227.142857
C10orf95,227.142857
PIN4,227.0
MPDU1,227.0
LOC100996842,227.0
KLRB1,227.0
SFXN1,226.857143
NBPF12,226.857143
GPC4,226.714286
PGAM5,226.428571
PARP1,226.428571
FAM83F,226.428571
CPT1C,226.142857
AKIRIN1,226.142857
ADM5,226.142857
NBPF20,225.857143
KRBA2,225.571429
RAMP1,225.285714
DNAJC18,225.285714
RHEX,224.428571
VSIG10,224.0
SGPP2,224.0
MPI,223.857143
H3C13,223.857143
H2BC18,223.857143
SNX12,223.714286
KIF15,223.714286
KIAA1143,223.714286
CATSPERE,223.714286
TNFSF13,223.571429
SENP3,223.571429
EIF4A1,223.571429
ARHGAP22,223.571429
CTAGE1,223.285714
PAK3,223.142857
GRHPR,223.142857
SERPINA12,222.857143
OR6A2,222.857143
FFAR2,222.714286
KIF21A,222.428571
TBC1D5,222.285714
ZSWIM3,222.142857
GLIS3,222.142857
ACOT8,222.142857
USP6NL,221.857143
KRT8,221.714286
RBPMS2,221.571429
CDC14B,221.428571
DUX4,221.142857
CTPS1,221.0
MS4A1,220.714286
WIPF3,220.571429
HARBI1,220.571429
BRWD3,220.571429
ATG13,220.571429
SLC2A11,220.428571
SMYD3,220.142857
TCF7L1,220.0
TRIM29,219.571429
CD34,219.428571
SCAPER,218.714286
LMBRD1,218.571429
FRY,218.285714
FBXO38,218.285714
FAM169A,218.285714
LCN2,218.0
ASCC3,217.857143
RPS24,217.714286
MTMR9,217.714286
PLD4,217.428571
KRT14,217.428571
GPR32,217.285714
TPD52,217.142857
SH3BP5L,217.142857
OR8B3,217.0
SLC34A1,216.714286
PFN3,216.714286
LUC7L3,216.714286
UQCRC1,216.571429
ZNF217,216.285714
SNX19,216.285714
PLAC8L1,216.285714
ANO2,216.285714
RFC4,215.857143
SNAPC3,215.714286
RBM4,215.428571
TRPV3,215.142857
KANK1,215.142857
FAM91A1,215.142857
LIPK,214.857143
CD99L2,214.857143
TOX,214.714286
GJA10,214.428571
BMF,214.285714
SLCO2A1,214.0
RAPGEF5,214.0
BZW2,214.0
ANKMY2,214.0
RASGRF2,213.857143
PLAAT4,213.857143
TJAP1,213.571429
SLC36A1,213.571429
VEPH1,213.428571
H3-2,213.428571
SEC14L1,213.285714
MRPL17,213.285714
HOXD13,213.285714
HOXD12,213.285714
HOXD11,213.285714
BCAT1,213.285714
GRK5,213.142857
CAAP1,213.142857
NAV1,213.0
NEK6,212.857143
TMEM86A,212.714286
MTF2,212.571429
IL6,212.571429
TMUB2,212.428571
HLA-A,212.428571
ATXN7L3,212.428571
DOP1B,212.285714
STOM,212.142857
LDLRAD4,212.142857
APOC1,212.0
FEZ2,211.285714
CDK2AP1,211.142857
ZNF594,211.0
ZBTB8OS,211.0
RBBP4,211.0
PARN,211.0
BFAR,211.0
TMEM244,210.857143
BHLHE40,210.857143
PAMR1,210.714286
ANKRD40CL,210.714286
SPATA6,210.571429
MAML3,210.571429
CCM2,210.571429
TNRC6B,210.285714
DUSP6,210.285714
APELA,210.285714
GOLGA6D,210.0
SLC35A5,209.857143
ATG3,209.857143
CATIP,209.71428600000002
SERPINA10,209.571429
UBQLN4,209.28571399999998
TSPAN14,209.28571399999998
LAMTOR2,209.28571399999998
FUBP1,209.28571399999998
DNAJB4,209.28571399999998
NUDT4,209.0
MACROH2A1,209.0
ARPC1A,209.0
JPH1,208.28571399999998
IRF6,207.85714299999998
LEMD2,207.71428600000002
VPS11,207.571429
HYOU1,207.571429
API5,207.571429
XRN1,207.28571399999998
TBCD,207.28571399999998
FN3K,207.28571399999998
CMTM2,207.28571399999998
ZRSR2,207.14285700000002
SLC2A9,207.14285700000002
TACO1,207.0
TRMT9B,206.85714299999998
SLC2A8,206.71428600000002
MCCC1,206.71428600000002
TAF13,206.571429
MRGPRD,206.14285700000002
ERVH48-1,206.14285700000002
ATP9B,206.14285700000002
ASIC1,206.14285700000002
TOR1A,206.0
GOLGA7B,205.428571
ABCC10,205.428571
NR4A3,205.28571399999998
SLC1A3,205.14285700000002
ZNF56,204.85714299999998
ZNF106,204.85714299999998
SNAP23,204.85714299999998
SEPTIN5,204.71428600000002
CRTAP,204.71428600000002
SPNS2,204.571429
CFAP126,204.28571399999998
MBD1,204.14285700000002
CYTH2,204.14285700000002
CXXC1,204.14285700000002
ATMIN,203.85714299999998
TMEM239,203.428571
SSU72,203.428571
H3C15,203.14285700000002
H3C14,203.14285700000002
H2AC19,203.14285700000002
H2AC18,203.14285700000002
MAD1L1,202.85714299999998
DUPD1,202.85714299999998
FXYD6-FXYD2,202.571429
FXYD6,202.571429
CPXM2,202.571429
CMC2,202.571429
CENPN,202.571429
SLC17A5,202.428571
ZNF148,202.28571399999998
DDX3X,202.28571399999998
THEM5,201.85714299999998
PLSCR4,201.85714299999998
ZNF57,201.71428600000002
L3HYPDH,201.71428600000002
JKAMP,201.71428600000002
TBC1D14,201.571429
DIAPH1,201.571429
INTS9,201.428571
HMBOX1,201.428571
CPEB1,201.428571
SYCE1,201.28571399999998
CDCA7,201.28571399999998
SPDYE17,201.0
SPDYE11,201.0
DCAF8L2,201.0
BCAR3,201.0
ARAP3,200.85714299999998
TMEM139,200.28571399999998
CASP2,200.28571399999998
ANXA2,200.28571399999998
MPV17L,199.85714299999998
FAM186A,199.85714299999998
BRD7,199.85714299999998
XPO6,199.28571399999998
SPATA13,199.28571399999998
RORC,199.28571399999998
MOGAT1,199.28571399999998
LTBP2,199.28571399999998
FSCN1,199.14285700000002
C2orf80,199.14285700000002
ATL3,199.0
F2RL1,198.85714299999998
LIN28A,198.571429
MLEC,198.28571399999998
CALD1,198.14285700000002
CYP1A1,198.0
TRIM64C,197.85714299999998
ST3GAL6,197.571429
CTHRC1,197.0
TVP23B,196.28571399999998
NUBP1,196.28571399999998
GALNT8,196.28571399999998
MED26,196.14285700000002
ZNF22,195.571429
UFL1,195.571429
STRIP1,195.428571
GRAMD2A,195.28571399999998
STON1-GTF2A1L,195.14285700000002
PDCL,195.14285700000002
NRXN1,195.14285700000002
AUH,195.14285700000002
UBALD2,195.0
OLA1,195.0
G2E3,195.0
EMB,194.85714299999998
HGC6.3,194.71428600000002
NMUR1,194.571429
SLC7A7,194.428571
MRPL52,194.428571
SLC9A4,194.14285700000002
MGAT4A,194.14285700000002
GCSAM,194.14285700000002
CLEC9A,194.0
LRPAP1,193.85714299999998
NPHS2,193.71428600000002
RNASEH1,193.28571399999998
MICAL2,193.14285700000002
COL26A1,192.71428600000002
CELF4,192.71428600000002
EPHB4,192.571429
CCL19,192.571429
LMO7,192.28571399999998
H2BC5,192.28571399999998
H1-4,192.28571399999998
EOMES,192.28571399999998
WDR66,192.14285700000002
CST1,191.85714299999998
CRACDL,191.85714299999998
ZNF318,191.71428600000002
PTBP1,191.71428600000002
KCNV2,191.71428600000002
GRB10,191.71428600000002
NSD1,191.428571
NBPF11,191.428571
ELOVL4,191.428571
PUM2,191.28571399999998
SLC9A1,191.0
OR8S1,191.0
WDFY2,190.85714299999998
RIN1,190.571429
TRIM52,190.14285700000002
RUSC2,190.14285700000002
SDCBP2,190.0
ZNF90,189.85714299999998
HSPG2,189.85714299999998
NAF1,189.571429
MBOAT2,189.428571
PRAMEF33,189.28571399999998
NDUFB5,189.28571399999998
MRPL47,189.28571399999998
DDX6,189.28571399999998
CR1L,189.14285700000002
SLA2,189.0
TNFAIP8L1,188.85714299999998
OR7G2,188.85714299999998
OR7G1,188.85714299999998
WDR31,188.71428600000002
BSPRY,188.71428600000002
TMEM248,188.571429
MAP1LC3B,188.571429
FBXO31,188.571429
CACNG8,188.571429
HYAL1,188.28571399999998
SFPQ,188.14285700000002
PPP1R15A,188.14285700000002
HECTD4,188.14285700000002
ST18,188.0
TPM1,187.571429
MDM1,187.571429
FBXO10,187.571429
VWA8,187.28571399999998
PANK2,187.28571399999998
SDHC,187.0
MPZ,187.0
MFHAS1,187.0
BUB1B,187.0
SH2D4A,186.85714299999998
RMND1,186.85714299999998
RHBDD2,186.85714299999998
ARMT1,186.85714299999998
HEATR5B,186.571429
GPATCH11,186.571429
MAPK8IP1,186.28571399999998
PLPP5,186.14285700000002
DGLUCY,185.85714299999998
MLN,185.571429
MAST4,185.571429
UBR1,185.14285700000002
ITGB5,185.14285700000002
IGFL4,185.14285700000002
POLB,185.0
C11orf96,185.0
ZDHHC9,184.428571
SNRPN,184.428571
RMDN2,184.428571
RAP1B,184.428571
P2RY6,184.28571399999998
ESCO1,184.28571399999998
B3GNT2,184.28571399999998
AHCY,184.28571399999998
TCEAL3,184.14285700000002
RAB7A,183.85714299999998
BRF2,183.85714299999998
MIER2,183.428571
ZFHX2,183.0
THTPA,183.0
TAOK2,183.0
TECRL,182.85714299999998
KLKB1,182.85714299999998
HPDL,182.85714299999998
ZNF615,182.71428600000002
PNISR,182.71428600000002
ZNF729,182.571429
TEX49,182.571429
PTMA,182.571429
LPAR5,182.571429
ENTPD5,182.571429
CCNT1,182.571429
BBOF1,182.571429
ACRBP,182.571429
LYPD2,182.428571
MTERF1,182.28571399999998
LIFR,182.28571399999998
INSM1,182.28571399999998
ZNF157,182.14285700000002
TMCC3,182.0
SLC43A1,182.0
SH3D19,182.0
NEB,182.0
WWC3,181.85714299999998
EPSTI1,181.85714299999998
CST4,181.85714299999998
RTP3,181.71428600000002
MDS2,181.71428600000002
KLF7,181.71428600000002
IVL,181.428571
JUP,181.28571399999998
MUC21,181.0
FBXW11,180.71428600000002
AMBRA1,180.71428600000002
PAX8,180.571429
NAPEPLD,180.571429
ELAVL2,180.571429
MAPK1IP1L,180.428571
PPARG,180.28571399999998
SULT1A1,180.14285700000002
GNG4,180.14285700000002
ST3GAL4,179.85714299999998
LOC100129484,179.85714299999998
CNOT3,179.85714299999998
EEF2,179.71428600000002
KNCN,179.428571
CNOT6,179.428571
MYO7B,179.14285700000002
IWS1,179.14285700000002
L1TD1,179.0
PRKAA1,178.85714299999998
LBH,178.85714299999998
WDR36,178.71428600000002
TRIM34,178.71428600000002
SLC25A12,178.71428600000002
MESP2,178.571429
BCKDK,178.571429
BAIAP3,178.571429
TNFSF8,178.428571
SPRED2,178.428571
EIF4G3,178.428571
CDH2,178.428571
HCAR1,178.28571399999998
FAAH,178.28571399999998
CENPA,178.14285700000002
NLRP7,178.0
CKAP5,178.0
BNIP1,178.0
ZNF483,177.85714299999998
C4orf54,177.85714299999998
NHSL1,177.71428600000002
TSACC,177.571429
STEAP3,177.571429
RBBP9,177.571429
CCT3,177.571429
STRA6,177.14285700000002
C19orf25,177.14285700000002
OR2W3,177.0
CDC37L1,176.85714299999998
TMEM154,176.71428600000002
NFE2L3,176.571429
MX1,176.571429
MTUS1,176.571429
LZTS1,176.428571
RPRD2,176.28571399999998
MED13,176.14285700000002
MAP3K19,176.14285700000002
ZNF181,176.0
SPARC,176.0
PMEPA1,176.0
GNPTAB,176.0
TNRC18,175.71428600000002
NOSTRIN,175.71428600000002
INSYN2B,175.71428600000002
ZNF552,175.428571
RAB6B,175.428571
EIF4E3,175.428571
DDX23,175.428571
C2,175.28571399999998
ABCG8,175.28571399999998
ABCG5,175.28571399999998
RASSF2,175.14285700000002
MYBL2,175.14285700000002
SLC25A18,175.0
LILRB3,175.0
SLC35G4,174.85714299999998
GSTA2,174.85714299999998
TMEM41B,174.71428600000002
HNRNPA3,174.71428600000002
GNAL,174.71428600000002
CHMP1B,174.71428600000002
SLC12A9,174.428571
DERA,174.428571
ZNF608,174.14285700000002
GAD2,174.14285700000002
DEFB131B,174.14285700000002
TMEM198,174.0
HS3ST3B1,174.0
CHPF,174.0
GTF2I,173.85714299999998
GSN,173.85714299999998
PACSIN2,173.428571
MMP2,173.428571
FXYD3,173.428571
ADRB3,173.428571
TACSTD2,173.28571399999998
NCBP3,173.14285700000002
CHI3L2,173.14285700000002
AKAP7,173.14285700000002
USP31,173.0
PRR18,172.85714299999998
PRR14L,172.85714299999998
NBPF15,172.85714299999998
KLHDC8A,172.85714299999998
DEPDC5,172.85714299999998
GJA1,172.71428600000002
C7orf50,172.71428600000002
TBRG4,172.571429
SCGB1D1,172.571429
ATP8B3,172.571429
TMEM247,172.428571
RXFP3,172.428571
FRAT2,172.428571
DEFB107B,172.428571
DEFB107A,172.428571
CUBN,172.28571399999998
CEP41,172.28571399999998
ZNF343,172.14285700000002
ROR2,172.14285700000002
PSRC1,172.14285700000002
UGT2B15,172.0
BEND3,172.0
NCOA7,171.571429
CHD1L,171.571429
TMPRSS6,171.428571
SAR1B,171.428571
PET117,171.428571
LRRC74A,171.428571
KAT14,171.428571
ZNF534,171.28571399999998
OVOL2,171.28571399999998
TMX2,171.14285700000002
TMEM108,171.14285700000002
MED19,171.14285700000002
CARHSP1,171.14285700000002
FZR1,170.85714299999998
ZER1,170.71428600000002
TBC1D13,170.71428600000002
PLXNA2,170.71428600000002
NPSR1,170.71428600000002
NCOA5,170.71428600000002
ZBED9,170.571429
TMEM229B,170.571429
PLEKHH1,170.571429
SKA3,170.428571
MRPL57,170.428571
ACSL5,170.428571
UBTD1,170.28571399999998
RHD,170.28571399999998
MMS19,170.28571399999998
RPL11,170.14285700000002
PLEKHB2,170.14285700000002
ITCH,170.14285700000002
C8orf86,170.14285700000002
KRT82,170.0
FNDC5,170.0
CYB5R2,170.0
ULK1,169.85714299999998
EVA1B,169.85714299999998
MARS2,169.71428600000002
SUN1,169.571429
IQCF2,169.571429
INPP5B,169.571429
MRPS36,169.428571
NGEF,169.28571399999998
PGM2,169.14285700000002
OR1E3,169.14285700000002
MED25,169.14285700000002
JAML,169.14285700000002
FUZ,169.14285700000002
B3GNT4,169.14285700000002
PUS7,168.85714299999998
EDDM3B,168.85714299999998
CACNA1S,168.85714299999998
ASCL5,168.85714299999998
NFKB2,168.71428600000002
EML2,168.71428600000002
SSX5,168.571429
CMIP,168.571429
TJP3,168.28571399999998
RAB3GAP1,168.14285700000002
NASP,168.14285700000002
HEG1,168.14285700000002
APOBEC3F,168.14285700000002
SYBU,168.0
SEMA4F,168.0
M1AP,168.0
INO80C,168.0
TLR3,167.85714299999998
KANK4,167.85714299999998
FCGR1A,167.85714299999998
USP32,167.71428600000002
RNF135,167.71428600000002
LGALS4,167.71428600000002
KDM2B,167.571429
GABBR1,167.428571
CSF2RA,167.428571
LINGO1,167.28571399999998
C5orf34,167.28571399999998
NOP53,167.14285700000002
ZNF428,167.0
SRRM5,167.0
C12orf45,167.0
AZIN1,167.0
TMEM132A,166.71428600000002
MTHFD1L,166.71428600000002
DIABLO,166.71428600000002
CPA5,166.71428600000002
SMIM31,166.571429
KIF26A,166.571429
YAP1,166.428571
TMEM50A,166.428571
SLC26A2,166.428571
RSRP1,166.428571
TMPRSS11E,166.28571399999998
IL19,166.0
IL10,166.0
PNKD,165.85714299999998
MICA,165.85714299999998
FOS,165.85714299999998
SH3BP4,165.428571
GPER1,165.28571399999998
NOTCH2,165.14285700000002
METTL3,165.14285700000002
ADCK1,165.14285700000002
KNG1,165.0
CEP63,165.0
ANAPC13,165.0
RPL24,164.85714299999998
APMAP,164.85714299999998
METTL27,164.71428600000002
FGF18,164.71428600000002
CLDN4,164.71428600000002
TRMT10C,164.571429
SORBS1,164.571429
XPO5,164.28571399999998
SIGLECL1,164.28571399999998
POLH,164.28571399999998
UBE2F,164.14285700000002
TWISTNB,164.14285700000002
RNF169,164.14285700000002
FGG,164.14285700000002
C1orf174,163.71428600000002
HCN2,163.571429
SLC39A8,163.428571
ZSCAN10,163.28571399999998
ST6GALNAC1,163.28571399999998
SARDH,163.28571399999998
GEMIN6,163.14285700000002
ZNF28,162.71428600000002
VPS35L,162.71428600000002
TMEM170A,162.71428600000002
NOXRED1,162.71428600000002
IFIT3,162.71428600000002
DLGAP4,162.71428600000002
AIP,162.71428600000002
MS4A6A,162.571429
TBC1D7-LOC100130357,162.428571
TBC1D7,162.428571
OR5M8,162.428571
TAF1C,162.28571399999998
OAZ3,162.28571399999998
MRPL9,162.28571399999998
MUC1,162.14285700000002
DPPA2,162.14285700000002
COL15A1,162.14285700000002
ZNF584,162.0
SLC35D2,162.0
RNF225,162.0
GJB1,162.0
FERMT1,162.0
PIAS4,161.71428600000002
KANK3,161.71428600000002
FILIP1L,161.71428600000002
CMSS1,161.71428600000002
PPP1R14C,161.571429
DYNLRB1,161.571429
TYRO3,161.428571
TDGF1,161.428571
SEC62,161.428571
LRRC2,161.428571
SLC25A35,161.14285700000002
RANGRF,161.14285700000002
CCL2,161.14285700000002
CCP110,160.71428600000002
TTC25,160.571429
TNIP2,160.571429
PI16,160.571429
CTNNA3,160.571429
CRYZL2P-SEC16B,160.428571
ZNF484,160.14285700000002
TMEM17,160.14285700000002
RGS3,160.0
PSCA,160.0
PIAS1,160.0
JRK,160.0
HOTS,160.0
TRMT10B,159.85714299999998
GTPBP3,159.71428600000002
FOXA2,159.71428600000002
ANO8,159.71428600000002
SPTB,159.428571
AK4,159.428571
ANGEL1,159.28571399999998
MRPL16,159.0
PIK3CG,158.85714299999998
IGFBP1,158.85714299999998
CCDC9,158.85714299999998
PCDHB5,158.71428600000002
PCDHB4,158.71428600000002
RNF24,158.571429
YWHAE,158.428571
TYSND1,158.28571399999998
IL16,158.28571399999998
GPR39,158.28571399999998
DNMBP,158.28571399999998
PHACTR1,158.14285700000002
DLG3,158.14285700000002
PWWP3A,158.0
ZNF781,157.85714299999998
CIPC,157.85714299999998
SPATA2,157.71428600000002
ZNF566,157.571429
C1QTNF6,157.571429
AGL,157.571429
C9orf129,157.428571
SMS,157.14285700000002
POLD1,157.14285700000002
COLEC11,157.14285700000002
AKAP1,157.14285700000002
TMBIM4,157.0
ASCL4,156.85714299999998
PTTG2,156.71428600000002
PEX5,156.71428600000002
MFSD2B,156.71428600000002
ZNF764,156.571429
LIMK2,156.571429
ZNF100,156.428571
ALDH2,156.428571
ANK2,156.28571399999998
KATNBL1,156.14285700000002
ZNF517,156.0
ZNF34,156.0
TMEM109,156.0
RPL8,156.0
RIPK1,156.0
PRPF19,156.0
ATP6V0A2,156.0
SPECC1,155.85714299999998
RNF213,155.85714299999998
SEMA6D,155.71428600000002
RAPGEF6,155.71428600000002
PRKCSH,155.71428600000002
CCDC151,155.71428600000002
RAB40AL,155.571429
TBXT,155.14285700000002
HAUS5,155.14285700000002
TMEM263,155.0
SH3BP5,155.0
SLC39A14,154.85714299999998
RUNDC1,154.85714299999998
RIF1,154.85714299999998
PTGES3L-AARSD1,154.85714299999998
PTGES3L,154.85714299999998
PRSS41,154.85714299999998
AARSD1,154.85714299999998
