Target_genes	SOX17|Average	SRX702102|hESC_derived_mesendodermal_cells	SRX702103|hESC_derived_mesendodermal_cells	SRX702104|hESC_derived_mesendodermal_cells	SRX702101|hESC_HUES64	SRX5771670|Tcam-2	SRX5771672|Tcam-2	SRX5771674|Tcam-2	STRING
PPFIBP2	323.142857	0	0	208	0	762	652	640	0
RCC2	322.714286	0	0	0	0	973	646	640	0
NACAD	321.571429	0	0	0	0	882	691	678	0
SMARCA2	321.285714	0	0	0	0	860	645	744	0
PRODH	321.285714	0	0	0	0	856	631	762	0
LOC102724788	321.285714	0	0	0	0	856	631	762	0
MRPL20	321.000000	0	0	0	0	843	601	803	0
APCDD1	320.428571	0	0	0	0	869	659	715	0
NAV2	320.000000	0	0	0	0	860	575	805	0
CAPN13	319.142857	0	0	0	0	843	629	762	0
SERINC5	317.714286	0	0	0	0	899	725	600	0
ACSF2	317.142857	0	0	0	0	895	741	584	0
C2orf49	316.714286	0	0	0	0	712	752	753	0
ACSL3	316.000000	0	0	0	0	943	612	657	0
PPM1A	315.714286	0	0	0	0	853	694	663	0
SNCA	315.142857	0	0	0	0	930	623	653	0
FKBP4	315.000000	0	0	0	0	795	699	711	0
ZNF432	314.714286	0	256	137	156	632	567	455	0
IRAK1BP1	314.571429	0	0	0	0	826	598	778	0
CRYGB	314.000000	0	0	131	0	795	683	589	0
TCF4	313.857143	0	0	79	0	850	661	607	0
TMCC1	313.428571	0	0	205	0	843	615	531	0
RMND5B	313.285714	0	0	0	0	858	775	560	0
PCDH1	313.285714	0	0	0	0	739	735	719	0
IL20	313.142857	0	0	131	0	758	731	572	0
PUF60	312.000000	0	0	0	0	817	800	567	0
NRBP2	312.000000	0	0	0	0	817	800	567	0
LHFPL4	311.428571	0	0	0	0	870	661	649	0
TESK2	311.285714	0	0	0	0	809	647	723	0
MMACHC	311.285714	0	0	0	0	809	647	723	0
DET1	310.142857	0	0	0	0	752	683	736	0
FAM20A	308.857143	0	0	0	0	791	581	790	0
GYS2	308.428571	0	0	0	0	867	629	663	0
TFDP2	308.285714	0	0	0	0	802	649	707	0
NCEH1	308.000000	0	0	0	0	813	671	672	0
TRIM2	305.428571	0	0	123	0	781	486	748	0
ZNF565	305.000000	0	0	0	0	758	651	726	0
BEND7	305.000000	0	0	0	0	853	593	689	0
ENSA	304.571429	0	0	0	0	905	628	599	0
PRDM1	304.285714	0	0	298	0	696	547	589	0
ECE1	304.285714	0	0	0	0	797	593	740	0
RNASEL	303.714286	0	0	0	0	820	643	663	0
PRR23B	303.714286	0	0	0	0	816	757	553	0
PCDHB9	303.142857	0	0	0	0	841	689	592	0
PCDHB8	303.142857	0	0	0	0	841	689	592	0
PCDHB7	303.142857	0	0	0	0	841	689	592	0
PCDHB16	303.142857	0	0	0	0	841	689	592	0
RCL1	302.714286	0	0	0	0	836	613	670	0
LRRC10B	302.428571	0	0	0	0	898	675	544	0
SLC25A16	301.857143	0	0	0	0	865	593	655	0
OR6C3	301.857143	0	0	0	0	953	550	610	0
CD180	301.000000	0	0	0	0	923	637	547	0
FAM193B	300.857143	0	228	0	0	790	451	637	0
IGSF5	300.285714	0	0	0	0	804	626	672	0
PCP4L1	300.000000	0	0	0	0	724	656	720	0
MFSD4B	299.285714	0	0	0	0	869	602	624	0
HMG20B	298.285714	0	0	0	0	791	646	651	0
FYCO1	298.285714	0	0	0	0	882	611	595	0
C8orf58	297.571429	0	0	0	0	821	564	698	0
RHPN2	296.142857	0	0	100	0	825	622	526	0
NVL	295.857143	0	0	0	0	803	624	644	0
REST	295.142857	0	0	0	0	873	536	657	0
RNF186	295.000000	0	0	0	0	781	593	691	0
RNF19B	294.142857	0	0	0	0	747	620	692	0
NDUFAB1	294.142857	0	0	0	0	758	631	670	0
VANGL2	293.428571	0	0	0	0	865	662	527	0
CLCN4	292.857143	0	0	0	0	898	609	543	0
DRD1	292.714286	0	0	101	0	799	462	687	0
PFKP	291.857143	0	0	0	0	672	600	771	0
NLRP9	291.285714	0	0	0	0	869	516	654	0
AACS	291.285714	0	0	0	0	821	632	586	0
WDR55	290.142857	0	0	0	0	829	549	653	0
DND1	290.142857	0	0	0	0	829	549	653	0
EIF1B	290.000000	0	0	0	0	808	503	719	0
RPS3	289.428571	0	0	0	0	892	541	593	0
ZBTB2	288.571429	0	0	0	0	894	660	466	0
PLEKHG6	288.571429	0	0	0	0	803	601	616	0
CERS3	287.571429	0	0	0	0	848	597	568	0
IL33	287.000000	0	0	0	0	763	614	632	0
PIK3C2A	286.714286	0	0	189	0	777	446	595	0
OTX2	286.714286	0	0	161	0	694	635	517	0
IGF1	286.714286	0	0	0	0	760	595	652	0
RAB15	286.571429	0	0	0	0	815	619	572	0
FNTB	286.571429	0	0	0	0	815	619	572	0
PSORS1C2	286.428571	0	0	0	0	783	558	664	0
BIN2	286.285714	0	0	0	0	789	538	677	0
ADI1	286.000000	0	0	0	0	742	661	599	0
FLVCR2	284.857143	0	0	0	0	818	589	587	0
MYO5C	284.428571	0	0	0	0	729	680	582	0
SAXO1	282.857143	0	0	0	0	802	564	614	0
ESRP1	282.571429	0	0	0	0	978	515	485	0
OSTN	282.142857	0	0	0	0	813	621	541	0
IQCF1	282.142857	0	0	0	0	734	634	607	0
GYPC	281.857143	0	0	0	0	659	519	795	0
REEP1	281.714286	0	0	0	0	702	532	738	0
SNAPC1	281.000000	0	0	0	0	737	621	609	0
GPR160	280.714286	0	0	0	0	642	728	595	0
BTG2	280.428571	0	0	0	0	883	542	538	0
ZFP3	280.285714	0	0	0	0	766	585	611	0
NANOG	279.857143	0	0	0	0	728	555	676	0
BTG1	279.571429	0	0	0	0	717	540	700	0
PIK3R6	279.285714	0	0	0	0	734	627	594	0
PTPN2	279.142857	0	0	202	0	609	577	566	0
IL4R	278.714286	0	0	0	0	621	629	701	0
C17orf64	278.000000	0	0	0	0	710	586	650	0
SULF1	277.857143	0	0	0	0	919	636	390	0
CA13	277.428571	0	0	0	0	758	628	556	0
C1orf198	277.428571	0	0	0	0	772	654	516	0
PROM1	276.714286	0	0	0	0	826	560	551	0
SLC35C1	276.571429	0	0	0	0	809	602	525	0
PEF1	276.571429	0	0	0	0	726	616	594	0
PAN3	276.285714	0	0	0	0	724	614	596	0
PHAX	275.571429	0	0	117	0	757	613	442	0
ALDH7A1	275.571429	0	0	117	0	757	613	442	0
MSTO1	275.285714	0	0	0	0	710	622	595	0
RNF214	275.142857	0	0	0	0	749	584	593	0
PCSK7	275.142857	0	0	0	0	749	584	593	0
SSB	274.857143	0	0	0	0	820	529	575	0
HECW2	274.428571	0	0	0	0	911	574	436	0
PER2	274.285714	0	0	0	0	824	540	556	0
TSGA10IP	273.857143	0	0	0	0	735	533	649	0
PAAF1	273.285714	0	0	0	0	753	595	565	0
COA4	273.285714	0	0	0	0	753	595	565	0
ISG20	273.142857	0	0	0	0	703	605	604	0
PTAR1	273.000000	0	0	0	0	754	606	551	0
GPR151	273.000000	0	0	0	0	752	631	528	0
FAM83A	272.428571	0	0	0	0	793	634	480	0
ZNF853	272.000000	0	0	0	0	811	507	586	0
AGO1	271.857143	0	0	0	0	676	567	660	0
TNFAIP8	271.571429	0	0	0	0	663	594	644	0
IFRD1	271.142857	0	182	0	0	692	511	513	0
CCDC54	270.285714	0	0	0	0	826	562	504	0
FGFR2	270.142857	0	0	0	0	719	574	598	0
CEBPZ	269.571429	0	0	0	0	706	565	616	0
SAXO2	269.142857	0	0	0	0	802	535	547	0
MOG	269.142857	0	0	0	0	719	517	648	0
FBLL1	269.142857	0	0	0	0	708	673	503	0
EFL1	269.142857	0	0	0	0	802	535	547	0
GCNT1	268.714286	0	0	0	0	746	520	615	0
GRPR	268.285714	0	0	0	0	825	477	576	0
BBC3	268.142857	0	0	0	0	776	565	536	0
GAS2L3	267.285714	0	0	0	0	801	577	493	0
FLNB	267.285714	0	0	0	0	702	538	631	0
JPT1	267.142857	0	0	0	0	705	585	580	0
TCEA1	267.000000	0	0	0	0	727	516	626	0
PTPN12	267.000000	0	0	158	0	640	474	597	0
ANAPC4	266.714286	0	0	0	0	605	645	617	0
FKBP9	265.857143	0	0	0	0	877	575	409	0
PPP1R13B	265.571429	0	0	0	0	755	643	461	0
CFLAR	265.000000	0	0	0	0	668	595	592	0
PHC1	264.571429	0	0	0	0	746	555	551	0
STMN1	263.714286	0	0	0	0	744	605	497	0
UBR3	263.571429	0	0	0	0	729	567	549	0
METTL5	263.571429	0	0	0	0	729	567	549	0
EPHB3	263.571429	0	0	301	0	568	502	474	0
RABL2B	262.714286	0	0	187	0	711	559	382	0
TCP1	262.428571	0	0	0	0	731	474	632	0
RPL14	262.428571	0	0	0	0	836	536	465	0
PNLDC1	262.428571	0	0	0	0	731	474	632	0
MRPL18	262.428571	0	0	0	0	731	474	632	0
UTS2R	262.000000	0	0	0	0	818	439	577	0
ANKRD1	261.571429	0	0	0	0	835	494	502	0
TIE1	261.428571	0	0	0	0	762	524	544	0
NR2F6	261.428571	0	0	0	0	686	536	608	0
C1orf210	261.428571	0	0	0	0	762	524	544	0
SLMAP	261.285714	0	398	210	274	418	291	238	0
NEPRO	261.285714	0	0	0	0	725	512	592	0
TMEM52B	260.285714	0	0	0	0	788	517	517	0
OLR1	260.285714	0	0	0	0	788	517	517	0
DDIT4	260.142857	0	0	0	0	773	510	538	0
MSC	259.857143	0	0	0	0	728	618	473	0
ERVW-1	259.857143	0	0	0	0	713	501	605	0
PYGB	259.714286	0	0	0	0	784	574	460	0
GJA5	259.428571	0	0	0	0	803	567	446	0
WDPCP	259.000000	0	0	0	0	656	580	577	0
MDH1	259.000000	0	0	0	0	656	580	577	0
TERF1	258.714286	0	0	0	0	774	562	475	0
DENR	257.857143	0	0	0	0	685	476	644	0
RASD1	257.000000	0	0	0	0	799	468	532	0
TATDN1	255.857143	0	0	0	0	721	518	552	0
NDUFB9	255.857143	0	0	0	0	721	518	552	0
NR1I2	255.714286	0	0	0	0	665	555	570	0
YTHDF1	255.428571	0	0	0	0	869	545	374	0
S100A2	255.285714	0	0	0	0	608	533	646	0
CCDC124	254.857143	0	500	216	475	240	207	146	0
DEFB131A	254.571429	0	0	0	0	739	491	552	0
STARD8	254.428571	0	0	0	0	732	525	524	0
MTMR2	254.142857	0	0	0	0	674	614	491	0
TNS3	254.000000	0	0	0	0	680	605	493	0
PLSCR2	253.428571	0	0	0	0	652	573	549	0
GAL3ST2	253.428571	0	0	0	0	823	520	431	0
ZNF83	252.857143	0	577	0	0	477	364	352	0
TSPAN13	252.571429	0	0	0	0	750	517	501	0
BPIFA2	252.428571	0	0	0	0	741	467	559	0
SYT2	251.857143	0	0	0	0	777	565	421	0
NKX6-3	251.857143	0	0	0	0	839	546	378	0
ANK1	251.857143	0	0	0	0	839	546	378	0
DDX46	251.714286	0	0	0	0	837	510	415	0
MORC1	251.285714	0	0	0	0	748	499	512	0
POU5F1	250.571429	0	0	0	0	644	504	606	0
RGS22	250.285714	0	0	0	0	743	501	508	0
NSA2	250.142857	0	152	110	131	495	537	326	0
GFM2	250.142857	0	152	110	131	495	537	326	0
FAR1	250.000000	0	0	0	0	605	482	663	0
PPP1R16B	249.571429	0	0	137	0	559	451	600	0
PRDX1	249.428571	0	0	0	0	598	582	566	0
UBE2Z	249.285714	0	0	0	0	729	521	495	0
ATP5MC1	249.285714	0	0	0	0	729	521	495	0
PON3	249.142857	0	0	0	0	770	528	446	0
SLC66A3	248.857143	0	0	0	0	632	460	650	0
SPATA45	248.428571	0	0	0	0	677	481	581	0
FLVCR1	248.428571	0	0	0	0	677	481	581	0
TRIM8	248.000000	0	0	0	0	597	636	503	0
STX16	247.714286	0	0	0	0	605	530	599	0
NOL12	247.571429	0	0	0	0	756	570	407	0
LGALS1	247.571429	0	0	0	0	756	570	407	0
SHC1	247.428571	0	0	0	0	752	488	492	0
FLAD1	247.428571	0	0	0	0	752	488	492	0
CKS1B	247.428571	0	0	0	0	752	488	492	0
CRY1	247.142857	0	0	0	0	621	501	608	0
SLC16A6	246.428571	0	0	0	0	699	513	513	0
ARSG	246.428571	0	0	0	0	699	513	513	0
SLC39A1	246.285714	0	0	0	0	681	535	508	0
RNF187	246.285714	0	0	0	0	720	585	419	0
JTB	246.285714	0	0	0	0	681	535	508	0
CREB3L4	246.285714	0	0	0	0	681	535	508	0
MSX2	246.142857	0	0	0	0	750	456	517	0
LAMA4	246.000000	0	0	0	0	596	486	640	0
RPUSD3	245.571429	0	0	0	0	745	490	484	0
MS4A12	245.571429	0	0	0	0	645	478	596	0
IMPA2	245.428571	0	0	0	0	641	553	524	0
DYNLL2	245.428571	0	0	0	0	638	517	563	0
C9orf72	245.428571	0	0	0	0	733	470	515	0
GNG3	244.571429	0	482	451	478	191	110	0	0
BSCL2	244.571429	0	482	451	478	191	110	0	0
OR7C1	244.285714	0	0	0	0	660	572	478	0
OR7A5	244.285714	0	0	0	0	660	572	478	0
OR7A10	244.285714	0	0	0	0	660	572	478	0
KCNN2	244.142857	0	207	206	0	630	451	215	0
ADGRF3	243.714286	0	0	121	0	681	584	320	0
SULT1B1	243.285714	0	0	0	0	590	586	527	0
UBTD2	243.000000	0	0	0	0	704	446	551	0
RGS20	243.000000	0	0	0	0	697	690	314	0
MRGPRX3	243.000000	0	0	0	0	707	478	516	0
GREM2	242.714286	0	0	0	0	699	506	494	0
GALNT16	242.714286	0	0	0	0	747	627	325	0
DTX2	242.000000	0	0	0	0	731	519	444	0
KRT6A	241.714286	0	0	96	0	748	545	303	0
C8orf76	241.714286	0	0	0	0	724	422	546	0
FRAT1	241.571429	0	0	0	0	841	372	478	0
HDAC9	241.142857	0	0	0	0	690	475	523	0
DDIT4L	240.714286	0	0	0	0	610	598	477	0
CYB561D1	240.714286	0	0	0	0	758	498	429	0
AMIGO1	240.714286	0	0	0	0	758	498	429	0
NCBP2AS2	240.142857	0	0	0	0	699	484	498	0
NCBP2	240.142857	0	0	0	0	699	484	498	0
GSTA3	240.142857	0	0	0	0	585	558	538	0
PHLDA3	239.857143	0	0	0	0	559	510	610	0
ZNF740	239.714286	0	0	0	0	636	588	454	0
CSAD	239.714286	0	0	0	0	636	588	454	0
LOC102724770	239.571429	0	339	216	370	291	252	209	0
DGCR6	239.571429	0	339	216	370	291	252	209	0
BCL2L1	239.571429	0	0	0	0	742	458	477	0
SLC16A10	239.285714	0	0	175	0	635	456	409	0
CACNB2	239.285714	0	0	0	0	696	476	503	0
PCDHB14	239.000000	0	0	0	0	776	492	405	0
PCDHB13	239.000000	0	0	0	0	776	492	405	0
PCDHB12	239.000000	0	0	0	0	776	492	405	0
SLC17A6	238.285714	0	0	0	0	649	492	527	0
TDRD7	238.142857	0	0	0	0	600	614	453	0
DACT1	238.142857	0	0	0	0	639	464	564	0
SBNO1	237.857143	0	0	0	0	664	539	462	0
PPP1R3B	236.857143	0	0	0	0	632	545	481	0
ANKDD1B	236.857143	0	0	0	0	531	518	609	0
NOTCH2NLC	236.714286	0	0	0	0	747	539	371	0
SOCS3	236.285714	0	0	0	0	741	403	510	0
ARHGEF38	236.000000	0	0	0	0	734	473	445	0
VENTX	235.857143	0	0	0	0	633	535	483	0
UTF1	235.857143	0	0	0	0	633	535	483	0
LOXHD1	235.428571	0	0	0	0	664	508	476	0
NPR2	235.142857	0	0	0	0	679	471	496	0
UNC119	235.000000	0	0	0	0	686	565	394	0
PAK6	234.714286	0	0	0	0	751	490	402	0
NUBPL	234.714286	0	0	0	0	698	546	399	0
SENP5	234.571429	0	0	0	0	790	487	365	0
SYVN1	234.428571	0	0	0	0	592	517	532	0
ETV7	234.428571	0	0	0	0	731	530	380	0
DOK7	234.428571	0	0	0	0	637	568	436	0
STARD13	234.285714	0	0	0	0	561	588	491	0
RAPGEF2	234.142857	0	0	0	0	695	489	455	0
ZP2	233.857143	0	0	0	0	651	458	528	0
NAA40	233.857143	0	0	0	0	777	463	397	0
TCHP	233.285714	0	0	0	0	563	513	557	0
ZSCAN2	233.142857	0	189	86	0	530	433	394	0
NKX1-2	232.428571	0	0	0	0	749	446	432	0
LHPP	232.428571	0	0	0	0	749	446	432	0
FBXL19	232.428571	0	139	140	178	481	385	304	0
VWA5B2	232.142857	0	0	0	0	715	508	402	0
OR6J1	232.142857	0	0	0	0	634	457	534	0
NES	232.142857	0	0	0	0	572	634	419	0
CSRP1	232.142857	0	0	0	0	674	454	497	0
ADAMTSL4	231.142857	0	0	0	0	711	508	399	0
SPANXN3	230.571429	0	0	0	0	618	503	493	0
HLA-F	230.571429	0	0	0	0	537	537	540	0
CSNK1D	230.571429	0	0	73	0	665	592	284	0
BLOC1S2	230.571429	0	0	0	0	583	564	467	0
SLAMF1	230.428571	0	0	0	0	637	406	570	0
NOL7	230.428571	0	0	0	0	704	483	426	0
ATP1A4	230.428571	0	0	0	0	617	540	456	0
CNP	230.142857	0	0	0	0	733	441	437	0
ZNF624	230.000000	0	0	0	0	693	509	408	0
ID1	229.857143	0	0	0	0	643	516	450	0
HILPDA	229.714286	0	0	0	0	663	487	458	0
RNASE10	229.428571	0	0	0	0	589	468	549	0
GRWD1	229.142857	0	0	0	0	801	490	313	0
EXOSC6	229.142857	0	0	0	0	685	612	307	0
KIF20A	229.000000	0	0	0	0	631	516	456	0
BRD8	229.000000	0	0	0	0	631	516	456	0
SOX15	228.714286	0	0	0	0	678	541	382	0
TEKT3	228.428571	0	0	0	0	659	444	496	0
ADAMTS7	228.428571	0	0	0	0	675	529	395	0
ZNF823	227.857143	0	0	0	0	617	539	439	0
SYN1	227.714286	0	0	0	0	695	434	465	0
RFC1	227.714286	0	0	0	0	618	488	488	0
MIF	227.714286	0	0	0	0	724	567	303	0
CFP	227.714286	0	0	0	0	695	434	465	0
SPATA4	227.571429	0	0	0	0	677	496	420	0
RBM47	227.571429	0	0	0	0	682	444	467	0
LRRN3	227.285714	0	0	0	0	669	461	461	0
GRAMD2B	227.285714	0	0	0	0	596	687	308	0
MFSD13A	227.142857	0	0	0	0	600	513	477	0
C10orf95	227.142857	0	0	0	0	600	513	477	0
PIN4	227.000000	0	0	0	0	615	474	500	0
MPDU1	227.000000	0	0	0	0	672	539	378	0
LOC100996842	227.000000	0	0	0	0	672	539	378	0
KLRB1	227.000000	0	0	0	0	606	401	582	0
SFXN1	226.857143	0	0	0	0	559	595	434	0
NBPF12	226.857143	0	0	0	0	703	508	377	0
GPC4	226.714286	0	0	0	0	553	503	531	0
PGAM5	226.428571	0	0	0	0	700	460	425	0
PARP1	226.428571	0	0	0	0	724	422	439	0
FAM83F	226.428571	0	0	0	0	709	401	475	0
CPT1C	226.142857	0	0	0	0	669	502	412	0
AKIRIN1	226.142857	0	0	0	0	579	624	380	0
ADM5	226.142857	0	0	0	0	669	502	412	0
NBPF20	225.857143	0	0	0	0	601	525	455	0
KRBA2	225.571429	0	0	0	0	641	440	498	0
RAMP1	225.285714	0	0	0	0	674	525	378	0
DNAJC18	225.285714	0	0	0	0	721	455	401	0
RHEX	224.428571	0	0	0	0	701	500	370	0
VSIG10	224.000000	0	0	0	0	622	496	450	0
SGPP2	224.000000	0	0	0	0	676	446	446	0
MPI	223.857143	0	0	0	0	540	491	536	0
H3C13	223.857143	0	0	0	0	583	465	519	0
H2BC18	223.857143	0	0	0	0	583	465	519	0
SNX12	223.714286	0	0	0	0	666	364	536	0
KIF15	223.714286	0	0	201	129	595	379	262	0
KIAA1143	223.714286	0	0	201	129	595	379	262	0
CATSPERE	223.714286	0	0	0	0	719	433	414	0
TNFSF13	223.571429	0	0	0	0	644	599	322	0
SENP3	223.571429	0	0	0	0	644	599	322	0
EIF4A1	223.571429	0	0	0	0	644	599	322	0
ARHGAP22	223.571429	0	0	0	0	652	427	486	0
CTAGE1	223.285714	0	0	0	0	650	426	487	0
PAK3	223.142857	0	0	0	0	710	402	450	0
GRHPR	223.142857	0	0	0	0	656	483	423	0
SERPINA12	222.857143	0	0	0	0	604	458	498	0
OR6A2	222.857143	0	0	0	0	632	605	323	0
FFAR2	222.714286	0	0	0	0	656	432	471	0
KIF21A	222.428571	0	0	0	0	611	439	507	0
TBC1D5	222.285714	0	0	0	0	671	450	435	0
ZSWIM3	222.142857	0	0	0	0	552	523	480	0
GLIS3	222.142857	0	0	0	0	589	491	475	0
ACOT8	222.142857	0	0	0	0	552	523	480	0
USP6NL	221.857143	0	0	0	0	629	521	403	0
KRT8	221.714286	0	0	0	0	551	518	483	0
RBPMS2	221.571429	0	0	239	0	566	339	407	0
CDC14B	221.428571	0	0	0	0	566	539	445	0
DUX4	221.142857	0	255	223	495	243	170	162	0
CTPS1	221.000000	0	0	0	0	591	545	411	0
MS4A1	220.714286	0	0	0	0	575	380	590	0
WIPF3	220.571429	0	0	0	0	669	446	429	0
HARBI1	220.571429	0	0	0	0	667	480	397	0
BRWD3	220.571429	0	0	0	0	624	402	518	0
ATG13	220.571429	0	0	0	0	667	480	397	0
SLC2A11	220.428571	0	0	0	0	569	442	532	0
SMYD3	220.142857	0	0	210	0	500	414	417	0
TCF7L1	220.000000	0	0	0	0	608	388	544	0
TRIM29	219.571429	0	0	0	0	815	430	292	0
CD34	219.428571	0	0	0	0	693	459	384	0
SCAPER	218.714286	0	0	0	0	601	482	448	0
LMBRD1	218.571429	0	0	0	0	727	450	353	0
FRY	218.285714	0	0	0	0	862	424	242	0
FBXO38	218.285714	0	274	205	305	293	224	227	0
FAM169A	218.285714	0	0	0	0	660	420	448	0
LCN2	218.000000	0	0	0	0	653	435	438	0
ASCC3	217.857143	0	0	0	0	536	442	547	0
RPS24	217.714286	0	0	0	0	591	493	440	0
MTMR9	217.714286	0	0	0	0	658	382	484	0
PLD4	217.428571	0	0	0	0	739	486	297	0
KRT14	217.428571	0	0	0	0	670	503	349	0
GPR32	217.285714	0	0	0	0	618	460	443	0
TPD52	217.142857	0	0	0	0	612	453	455	0
SH3BP5L	217.142857	0	516	126	490	265	123	0	0
OR8B3	217.000000	0	0	0	0	598	433	488	0
SLC34A1	216.714286	0	0	0	0	572	435	510	0
PFN3	216.714286	0	0	0	0	572	435	510	0
LUC7L3	216.714286	0	0	0	0	547	510	460	0
UQCRC1	216.571429	0	0	0	0	666	490	360	0
ZNF217	216.285714	0	0	0	0	504	458	552	0
SNX19	216.285714	0	0	0	0	716	393	405	0
PLAC8L1	216.285714	0	0	0	0	635	597	282	0
ANO2	216.285714	0	0	0	0	613	463	438	0
RFC4	215.857143	0	0	0	0	573	475	463	0
SNAPC3	215.714286	0	156	178	0	429	344	403	0
RBM4	215.428571	0	0	0	0	559	617	332	0
TRPV3	215.142857	0	0	0	0	623	408	475	0
KANK1	215.142857	0	164	0	0	506	352	484	0
FAM91A1	215.142857	0	141	0	0	586	473	306	0
LIPK	214.857143	0	0	0	0	613	448	443	0
CD99L2	214.857143	0	0	0	0	657	403	444	0
TOX	214.714286	0	0	0	0	664	518	321	0
GJA10	214.428571	0	0	0	0	612	391	498	0
BMF	214.285714	0	0	0	0	544	429	527	0
SLCO2A1	214.000000	0	0	0	0	644	520	334	0
RAPGEF5	214.000000	0	0	0	0	583	470	445	0
BZW2	214.000000	0	0	286	0	578	429	205	0
