Target_genes	SOX17|Average	SRX702102|hESC_derived_mesendodermal_cells	SRX702103|hESC_derived_mesendodermal_cells	SRX702104|hESC_derived_mesendodermal_cells	SRX702101|hESC_HUES64	SRX5771670|Tcam-2	SRX5771672|Tcam-2	SRX5771674|Tcam-2	STRING
NCEH1	307.000000	0	0	0	0	812	662	675	0
FAM20A	305.571429	0	0	0	0	815	589	735	0
TMCC1	304.857143	0	0	181	0	843	590	520	0
BEND7	303.571429	0	0	0	0	853	580	692	0
PRDM1	303.142857	0	0	286	0	696	549	591	0
FAM193B	303.142857	0	215	0	0	826	452	629	0
TCEA1	302.857143	0	0	0	0	805	621	694	0
RNASEL	302.857143	0	0	0	0	821	634	665	0
PCDHB9	302.428571	0	0	0	0	846	675	596	0
PCDHB8	302.428571	0	0	0	0	846	675	596	0
PCDHB7	302.428571	0	0	0	0	846	675	596	0
PCDHB16	302.428571	0	0	0	0	846	675	596	0
PRR23B	301.857143	0	0	0	0	810	754	549	0
OR6C3	301.714286	0	0	0	0	819	689	604	0
RCL1	301.571429	0	0	0	0	836	616	659	0
TCF4	301.285714	0	0	0	0	850	649	610	0
ECE1	300.857143	0	0	0	0	797	581	728	0
ZNF432	300.285714	0	289	0	185	604	593	431	0
CD180	299.714286	0	0	0	0	923	640	535	0
PCP4L1	299.142857	0	0	0	0	724	646	724	0
LRRC10B	299.000000	0	0	0	0	897	664	532	0
RNF19B	298.142857	0	0	0	0	697	643	747	0
ZFP3	298.000000	0	0	0	0	834	633	619	0
MFSD4B	298.000000	0	0	0	0	860	601	625	0
IGSF5	297.428571	0	0	0	0	804	603	675	0
FYCO1	297.428571	0	0	0	0	883	615	584	0
RAB15	296.428571	0	0	0	0	853	527	695	0
FNTB	296.428571	0	0	0	0	853	527	695	0
IRAK1BP1	296.285714	0	0	0	0	809	597	668	0
IL20	295.285714	0	0	0	0	758	734	575	0
C8orf58	295.142857	0	0	0	0	833	557	676	0
HMG20B	295.000000	0	0	0	0	790	637	638	0
REST	294.142857	0	0	0	0	873	526	660	0
RNF186	294.000000	0	0	0	0	781	582	695	0
PPFIBP2	293.714286	0	0	0	0	761	654	641	0
CLCN4	293.285714	0	0	0	0	896	612	545	0
NVL	293.000000	0	0	0	0	780	685	586	0
REEP1	292.714286	0	0	0	0	765	569	715	0
VANGL2	292.571429	0	0	0	0	866	653	529	0
PFKP	290.714286	0	0	0	0	672	604	759	0
NLRP9	290.428571	0	0	0	0	868	519	646	0
AACS	290.428571	0	0	0	0	822	634	577	0
EIF1B	289.142857	0	0	0	0	809	493	722	0
WDR55	288.428571	0	0	0	0	829	538	652	0
DND1	288.428571	0	0	0	0	829	538	652	0
PLEKHG6	288.000000	0	0	0	0	804	605	607	0
NDUFAB1	287.571429	0	0	0	0	675	617	721	0
ADI1	287.000000	0	0	0	0	744	662	603	0
IGF1	286.142857	0	0	0	0	760	588	655	0
DET1	286.000000	0	0	0	0	763	580	659	0
CERS3	286.000000	0	0	0	0	848	584	570	0
IL33	285.857143	0	0	0	0	764	617	620	0
ZBTB2	285.714286	0	0	0	0	894	650	456	0
PRODH	285.285714	0	0	0	0	749	487	761	0
LOC102724788	285.285714	0	0	0	0	749	487	761	0
ZNF565	285.142857	0	0	0	0	714	576	706	0
FLVCR2	284.000000	0	0	0	0	818	580	590	0
BIN2	284.000000	0	0	0	0	789	519	680	0
PSORS1C2	283.857143	0	0	0	0	784	549	654	0
ESRP1	283.285714	0	0	0	0	977	518	488	0
MYO5C	283.142857	0	0	0	0	729	683	570	0
RHPN2	282.571429	0	0	0	0	826	623	529	0
DEFB131A	282.285714	0	0	0	0	825	559	592	0
SAXO1	281.428571	0	0	0	0	803	565	602	0
OSTN	280.714286	0	0	0	0	813	623	529	0
BTG1	280.428571	0	0	0	0	717	543	703	0
SNAPC1	280.000000	0	0	0	0	737	611	612	0
IQCF1	279.714286	0	0	0	0	734	626	598	0
GPR160	279.571429	0	0	0	0	641	718	598	0
BTG2	279.142857	0	0	0	0	883	544	527	0
PTAR1	278.857143	0	0	0	0	824	593	535	0
GYPC	278.571429	0	0	0	0	659	509	782	0
PROM1	278.142857	0	0	0	0	826	562	559	0
NANOG	278.142857	0	0	0	0	728	549	670	0
C1orf198	278.142857	0	0	0	0	772	657	518	0
PIK3R6	277.571429	0	0	0	0	733	615	595	0
PEF1	277.285714	0	0	0	0	726	619	596	0
SLC35C1	277.142857	0	0	0	0	809	605	526	0
PAN3	277.142857	0	0	0	0	725	617	598	0
DRD1	277.142857	0	0	0	0	800	451	689	0
C17orf64	276.857143	0	0	0	0	710	590	638	0
SSB	276.714286	0	0	0	0	830	526	581	0
SULF1	276.571429	0	0	0	0	919	625	392	0
NOTCH2NLC	276.428571	0	0	0	0	777	595	563	0
NOTCH2	276.428571	0	0	0	0	777	595	563	0
RNF214	276.000000	0	0	0	0	748	586	598	0
PCSK7	276.000000	0	0	0	0	748	586	598	0
RPS3	275.857143	0	0	0	0	881	516	534	0
PER2	275.285714	0	0	0	0	824	542	561	0
TSGA10IP	274.285714	0	0	0	0	733	535	652	0
CA13	274.000000	0	0	0	0	757	603	558	0
IL4R	273.714286	0	0	0	0	621	605	690	0
GPR151	273.714286	0	0	0	0	752	634	530	0
HECW2	273.142857	0	0	0	0	912	562	438	0
FAM83A	273.142857	0	0	0	0	793	637	482	0
ZNF853	272.857143	0	0	0	0	811	510	589	0
AGO1	272.428571	0	0	0	0	675	567	665	0
ZNF649	272.142857	0	571	0	413	419	230	272	0
SAXO2	271.428571	0	0	0	0	801	550	549	0
EFL1	271.428571	0	0	0	0	801	550	549	0
CCDC54	271.000000	0	0	0	0	826	565	506	0
TNFAIP8	270.428571	0	0	0	0	663	596	634	0
PAAF1	270.428571	0	0	0	0	754	585	554	0
COA4	270.428571	0	0	0	0	754	585	554	0
ISG20	270.285714	0	0	0	0	703	595	594	0
FBLL1	269.714286	0	0	0	0	708	675	505	0
IFRD1	269.142857	0	175	0	0	693	501	515	0
FGFR2	269.000000	0	0	0	0	719	577	587	0
GRPR	268.714286	0	0	0	0	825	479	577	0
JPT1	268.571429	0	0	0	0	706	590	584	0
MOG	268.000000	0	0	0	0	719	519	638	0
MSTO1	267.571429	0	0	0	0	699	606	568	0
GCNT1	267.142857	0	0	0	0	745	522	603	0
PPP1R13B	266.857143	0	0	0	0	756	649	463	0
SLAMF1	266.285714	0	0	0	0	674	503	687	0
CFLAR	266.285714	0	0	0	0	667	600	597	0
FLNB	266.000000	0	0	0	0	703	527	632	0
BBC3	265.142857	0	0	0	0	777	554	525	0
UTS2R	264.714286	0	0	0	0	822	440	591	0
PTPN12	264.714286	0	0	148	0	640	465	600	0
PHF24	264.714286	0	0	0	0	842	626	385	0
OTX2	264.571429	0	0	0	0	694	638	520	0
UBR3	264.285714	0	0	0	0	727	571	552	0
STMN1	264.285714	0	0	0	0	743	609	498	0
METTL5	264.285714	0	0	0	0	727	571	552	0
MS4A12	264.142857	0	0	0	0	657	493	699	0
FKBP9	264.142857	0	0	0	0	877	563	409	0
PHC1	264.000000	0	0	0	0	746	559	543	0
GAS2L3	264.000000	0	0	0	0	799	566	483	0
ANAPC4	263.714286	0	0	0	0	605	635	606	0
NR2F6	262.142857	0	0	0	0	686	539	610	0
TIE1	261.857143	0	0	0	0	762	526	545	0
PYGB	261.857143	0	0	0	0	789	582	462	0
C1orf210	261.857143	0	0	0	0	762	526	545	0
RPL14	261.142857	0	0	0	0	836	524	468	0
ERVW-1	260.714286	0	0	0	0	713	504	608	0
EPHB3	260.571429	0	0	287	0	568	505	464	0
PHAX	259.714286	0	0	0	0	757	617	444	0
ALDH7A1	259.714286	0	0	0	0	757	617	444	0
DDIT4	259.000000	0	0	0	0	774	499	540	0
LOC102724770	258.857143	0	302	0	400	382	342	386	0
DGCR6	258.857143	0	302	0	400	382	342	386	0
PIK3C2A	258.714286	0	0	0	0	777	436	598	0
MSC	258.571429	0	0	0	0	728	621	461	0
GJA5	258.428571	0	0	0	0	803	557	449	0
H3C13	258.285714	0	0	0	0	737	469	602	0
H2BC18	258.285714	0	0	0	0	737	469	602	0
MDH1	257.857143	0	0	0	0	656	569	580	0
RASD1	257.571429	0	0	0	0	800	470	533	0
TMEM52B	257.142857	0	0	0	0	787	507	506	0
OLR1	257.142857	0	0	0	0	787	507	506	0
ANKRD1	256.571429	0	0	0	0	835	483	478	0
TATDN1	256.428571	0	0	0	0	719	521	555	0
NDUFB9	256.428571	0	0	0	0	719	521	555	0
YTHDF1	256.285714	0	0	0	0	869	548	377	0
TERF1	255.857143	0	0	0	0	776	553	462	0
DENR	255.857143	0	0	0	0	675	480	636	0
TCP1	255.714286	0	0	0	0	728	479	583	0
PNLDC1	255.714286	0	0	0	0	728	479	583	0
MRPL18	255.714286	0	0	0	0	728	479	583	0
TNS3	255.142857	0	0	0	0	681	609	496	0
GAL3ST2	255.000000	0	0	0	0	832	519	434	0
NR1I2	254.571429	0	0	0	0	665	545	572	0
PLSCR2	254.000000	0	0	0	0	652	575	551	0
ZNF83	253.142857	0	629	0	0	453	360	330	0
MTMR2	253.000000	0	0	0	0	674	604	493	0
BPIFA2	252.857143	0	0	0	0	740	469	561	0
SYT2	252.714286	0	0	0	0	778	568	423	0
TSPAN13	251.285714	0	0	0	0	750	519	490	0
STARD8	251.000000	0	0	0	0	732	513	512	0
FAR1	250.857143	0	0	0	0	605	485	666	0
RGS22	250.714286	0	0	0	0	742	503	510	0
NKX6-3	250.428571	0	0	0	0	839	534	380	0
ANK1	250.428571	0	0	0	0	839	534	380	0
PON3	249.714286	0	0	0	0	770	530	448	0
POU5F1	248.428571	0	0	0	0	644	486	609	0
MORC1	248.285714	0	0	0	0	726	532	480	0
ANKDD1B	248.285714	0	0	0	0	675	515	548	0
DYNLL2	248.142857	0	0	0	0	605	526	606	0
CRY1	247.857143	0	0	0	0	623	502	610	0
PRDX1	247.571429	0	0	0	0	596	573	564	0
SHC1	247.142857	0	0	0	0	757	478	495	0
FLAD1	247.142857	0	0	0	0	757	478	495	0
CKS1B	247.142857	0	0	0	0	757	478	495	0
TRIM8	247.000000	0	0	0	0	597	626	506	0
SPATA45	246.714286	0	0	0	0	678	482	567	0
MRGPRX3	246.714286	0	0	0	0	682	497	548	0
FLVCR1	246.714286	0	0	0	0	678	482	567	0
LAMA4	246.571429	0	0	0	0	596	487	643	0
NOL12	246.428571	0	0	0	0	755	560	410	0
LGALS1	246.428571	0	0	0	0	755	560	410	0
BLOC1S2	246.000000	0	0	0	0	624	573	525	0
C9orf72	245.857143	0	0	0	0	732	473	516	0
UBE2Z	245.714286	0	0	0	0	728	509	483	0
ATP5MC1	245.714286	0	0	0	0	728	509	483	0
RNF187	245.428571	0	0	0	0	720	577	421	0
KCNN2	245.142857	0	220	221	0	623	434	218	0
SLC39A1	245.000000	0	0	0	0	680	525	510	0
JTB	245.000000	0	0	0	0	680	525	510	0
IMPA2	245.000000	0	0	0	0	642	544	529	0
CREB3L4	245.000000	0	0	0	0	680	525	510	0
ADGRF3	244.857143	0	0	123	0	682	588	321	0
STX16	244.714286	0	0	0	0	605	520	588	0
RABL2B	244.428571	0	0	0	0	711	596	404	0
S100A2	244.285714	0	0	0	0	541	543	626	0
UBTD2	243.714286	0	0	0	0	705	448	553	0
MSX2	243.714286	0	0	0	0	751	448	507	0
RGS20	243.428571	0	0	0	0	697	692	315	0
GALNT16	243.285714	0	0	0	0	747	630	326	0
GREM2	243.142857	0	0	0	0	699	507	496	0
CEBPZ	242.428571	0	0	0	0	600	496	601	0
OR7C1	241.428571	0	0	0	0	660	562	468	0
OR7A5	241.428571	0	0	0	0	660	562	468	0
OR7A10	241.428571	0	0	0	0	660	562	468	0
SLC16A6	241.285714	0	0	0	0	700	489	500	0
CYB561D1	241.285714	0	0	0	0	758	500	431	0
ARSG	241.285714	0	0	0	0	700	489	500	0
AMIGO1	241.285714	0	0	0	0	758	500	431	0
DTX2	240.714286	0	0	0	0	732	522	431	0
C8orf76	240.714286	0	0	0	0	724	425	536	0
HLA-A	240.571429	0	0	0	0	650	551	483	0
FRAT1	240.571429	0	0	0	0	841	374	469	0
BCL2L1	240.428571	0	0	0	0	743	461	479	0
CACNB2	240.142857	0	0	0	0	698	478	505	0
HDAC9	239.857143	0	0	0	0	690	464	525	0
NCBP2AS2	239.714286	0	0	0	0	697	478	503	0
NCBP2	239.714286	0	0	0	0	697	478	503	0
PCDHB14	239.571429	0	0	0	0	777	494	406	0
PCDHB13	239.571429	0	0	0	0	777	494	406	0
PCDHB12	239.571429	0	0	0	0	777	494	406	0
PLAAT4	239.285714	0	0	0	0	611	454	610	0
DDIT4L	239.142857	0	0	0	0	610	600	464	0
PTPN2	239.000000	0	0	0	0	585	542	546	0
RFC4	238.714286	0	0	0	0	653	561	457	0
DACT1	238.571429	0	0	0	0	638	467	565	0
ZNF740	238.000000	0	0	0	0	635	589	442	0
CSAD	238.000000	0	0	0	0	635	589	442	0
SLC16A10	237.714286	0	0	174	0	635	445	410	0
GSTA3	237.428571	0	0	0	0	590	539	533	0
SLC17A6	237.285714	0	0	0	0	649	483	529	0
PHLDA3	237.285714	0	0	0	0	559	501	601	0
SENP5	236.857143	0	0	0	0	789	490	379	0
NSA2	236.714286	0	152	0	142	496	540	327	0
GFM2	236.714286	0	152	0	142	496	540	327	0
SLMAP	236.571429	0	371	208	243	419	281	134	0
SOCS3	235.285714	0	0	0	0	742	405	500	0
MRPL17	235.142857	0	0	0	0	702	440	504	0
STARD13	235.000000	0	0	0	0	562	592	491	0
TDRD7	234.857143	0	0	0	0	600	617	427	0
SEC22B	234.857143	0	0	0	0	790	432	422	0
PAK6	234.571429	0	0	0	0	750	493	399	0
KLRB1	234.000000	0	0	0	0	622	446	570	0
LOXHD1	233.714286	0	0	0	0	664	497	475	0
NPR2	233.571429	0	0	0	0	678	473	484	0
HLA-F	233.428571	0	0	0	0	607	551	476	0
RAPGEF2	233.285714	0	0	0	0	696	480	457	0
NUBPL	233.285714	0	0	0	0	696	536	401	0
SYVN1	233.000000	0	0	0	0	592	505	534	0
VWA5B2	232.857143	0	0	0	0	714	512	404	0
NES	232.857143	0	0	0	0	572	637	421	0
DOK7	232.857143	0	0	0	0	637	570	423	0
ETV7	232.714286	0	0	0	0	731	516	382	0
ARHGEF38	232.714286	0	0	0	0	734	462	433	0
VENTX	232.571429	0	0	0	0	632	525	471	0
UTF1	232.571429	0	0	0	0	632	525	471	0
PPP1R3B	232.571429	0	0	0	0	632	525	471	0
ZP2	232.285714	0	0	0	0	646	456	524	0
ZNF624	232.142857	0	0	0	0	694	509	422	0
SLC66A3	232.142857	0	0	0	0	652	425	548	0
UNC119	231.857143	0	0	0	0	686	554	383	0
SLC2A11	231.857143	0	0	0	0	637	492	494	0
NKX1-2	231.857143	0	0	0	0	751	437	435	0
LHPP	231.857143	0	0	0	0	751	437	435	0
SMYD3	231.571429	0	0	177	0	552	441	451	0
MPI	231.571429	0	0	0	0	575	506	540	0
NOL7	231.428571	0	0	0	0	708	486	426	0
PPP1R16B	231.000000	0	0	0	0	560	453	604	0
CSRP1	231.000000	0	0	0	0	674	457	486	0
ATP1A4	231.000000	0	0	0	0	617	542	458	0
NAA40	230.571429	0	0	0	0	776	452	386	0
EXOSC6	230.428571	0	0	0	0	687	619	307	0
ADAMTSL4	230.142857	0	0	0	0	711	498	402	0
TCHP	229.857143	0	0	0	0	562	514	533	0
MFSD13A	229.857143	0	0	0	0	602	503	504	0
C10orf95	229.857143	0	0	0	0	602	503	504	0
SBNO1	229.571429	0	0	0	0	649	517	441	0
SOX15	229.142857	0	0	0	0	678	543	383	0
ID1	229.142857	0	0	0	0	644	520	440	0
ADAMTS7	229.142857	0	0	0	0	677	532	395	0
TEKT3	229.000000	0	0	0	0	661	445	497	0
SPANXN3	228.857143	0	0	0	0	623	496	483	0
ZNF823	228.571429	0	0	0	0	617	542	441	0
RPUSD3	228.571429	0	0	0	0	678	455	467	0
RBM47	228.142857	0	0	0	0	683	446	468	0
KIF20A	227.714286	0	0	0	0	631	505	458	0
HILPDA	227.714286	0	0	0	0	654	481	459	0
BRD8	227.714286	0	0	0	0	631	505	458	0
GRWD1	227.142857	0	0	0	0	798	478	314	0
PARP1	227.000000	0	0	0	0	724	424	441	0
CNP	227.000000	0	0	0	0	733	429	427	0
CPT1C	226.714286	0	0	0	0	670	504	413	0
ADM5	226.714286	0	0	0	0	670	504	413	0
KRT6A	226.571429	0	0	0	0	747	535	304	0
SPATA4	226.428571	0	0	0	0	677	486	422	0
RFC1	226.428571	0	0	0	0	617	491	477	0
SULT1B1	226.285714	0	0	0	0	562	562	460	0
MIF	226.285714	0	0	0	0	725	555	304	0
GRAMD2B	226.142857	0	0	0	0	596	677	310	0
RAMP1	225.857143	0	0	0	0	674	527	380	0
DNAJC18	225.857143	0	0	0	0	722	458	401	0
PGAM5	225.714286	0	0	0	0	704	449	427	0
LRRN3	225.714286	0	0	0	0	669	463	448	0
SFXN1	225.571429	0	0	0	0	559	597	423	0
MPDU1	225.571429	0	0	0	0	672	527	380	0
LOC100996842	225.571429	0	0	0	0	672	527	380	0
GPC4	225.000000	0	0	0	0	552	505	518	0
FAM83F	224.857143	0	0	0	0	709	403	462	0
AKIRIN1	224.714286	0	0	0	0	578	614	381	0
SNX12	224.428571	0	0	0	0	666	367	538	0
KIF15	224.285714	0	0	204	127	594	381	264	0
KIAA1143	224.285714	0	0	204	127	594	381	264	0
SYN1	224.142857	0	0	0	0	680	422	467	0
CFP	224.142857	0	0	0	0	680	422	467	0
PAK3	223.571429	0	0	0	0	710	404	451	0
TBC1D5	223.285714	0	0	0	0	673	453	437	0
ZSWIM3	222.857143	0	0	0	0	552	525	483	0
SGPP2	222.857143	0	0	0	0	674	453	433	0
ACOT8	222.857143	0	0	0	0	552	525	483	0
GLIS3	222.714286	0	0	0	0	589	493	477	0
SCAPER	222.571429	0	0	0	0	653	409	496	0
RHEX	222.571429	0	0	0	0	695	487	376	0
CATSPERE	222.428571	0	0	0	0	720	421	416	0
CTAGE1	222.142857	0	0	0	0	651	415	489	0
GRHPR	222.000000	0	0	0	0	655	474	425	0
TNFSF13	221.714286	0	0	0	0	642	601	309	0
SENP3	221.714286	0	0	0	0	642	601	309	0
EIF4A1	221.714286	0	0	0	0	642	601	309	0
CTPS1	221.571429	0	0	0	0	591	547	413	0
SERPINA12	221.285714	0	0	0	0	604	459	486	0
KIF21A	221.285714	0	0	0	0	611	442	496	0
FFAR2	221.285714	0	0	0	0	656	434	459	0
WIPF3	221.000000	0	0	0	0	669	448	430	0
BRWD3	221.000000	0	0	0	0	623	404	520	0
OR6A2	220.857143	0	0	0	0	630	592	324	0
KRT8	220.857143	0	0	0	0	551	521	474	0
USP6NL	220.571429	0	0	0	0	629	510	405	0
TCF7L1	220.571429	0	0	0	0	607	390	547	0
CATIP	220.571429	0	0	0	0	663	421	460	0
CSNK1D	220.428571	0	0	0	0	663	594	286	0
ARHGAP22	220.285714	0	0	0	0	652	416	474	0
CD34	220.000000	0	0	0	0	693	461	386	0
CDC14B	219.714286	0	0	0	0	567	526	445	0
NBPF12	219.571429	0	0	0	0	649	468	420	0
HARBI1	219.142857	0	0	0	0	666	482	386	0
ATG13	219.142857	0	0	0	0	666	482	386	0
FAM169A	218.857143	0	0	0	0	660	423	449	0
ASCC3	218.571429	0	0	0	0	536	445	549	0
FUBP1	218.285714	0	0	0	0	615	449	464	0
DNAJB4	218.285714	0	0	0	0	615	449	464	0
RPS24	218.142857	0	0	0	0	591	494	442	0
KRT14	218.000000	0	0	0	0	672	491	363	0
GPR32	217.857143	0	0	0	0	618	462	445	0
TRIM29	217.571429	0	0	0	0	814	416	293	0
LMBRD1	217.285714	0	0	0	0	727	440	354	0
APOC1	217.285714	0	0	0	0	577	452	492	0
TPD52	217.142857	0	0	0	0	610	454	456	0
UQCRC1	217.000000	0	0	0	0	665	493	361	0
PLAC8L1	216.714286	0	0	0	0	636	599	282	0
MTMR9	216.714286	0	0	0	0	659	384	474	0
RMND1	216.428571	0	0	0	0	524	454	537	0
FRY	216.428571	0	0	0	0	862	424	229	0
ARMT1	216.428571	0	0	0	0	524	454	537	0
RBM4	216.285714	0	0	0	0	559	620	335	0
ZSCAN2	215.714286	0	161	0	0	530	435	384	0
PLD4	215.714286	0	0	0	0	739	473	298	0
SLC34A1	215.428571	0	0	0	0	572	438	498	0
PFN3	215.428571	0	0	0	0	572	438	498	0
TOX	215.142857	0	0	0	0	664	520	322	0
SLCO2A1	215.000000	0	0	0	0	646	523	336	0
SNX19	214.857143	0	0	0	0	716	396	392	0
BMF	214.857143	0	0	0	0	544	431	529	0
FAM91A1	214.714286	0	135	0	0	587	474	307	0
DOP1B	214.714286	0	0	0	0	618	492	393	0
RASGRF2	214.428571	0	0	0	0	741	462	298	0
TJAP1	214.285714	0	0	0	0	636	424	440	0
ZNF217	214.000000	0	0	0	0	504	450	544	0
LUC7L3	213.857143	0	0	0	0	546	501	450	0
RNASE10	213.571429	0	0	0	0	592	414	489	0
NAV1	213.571429	0	0	0	0	577	474	444	0
KANK1	213.428571	0	146	0	0	507	355	486	0
ANO2	213.428571	0	0	0	0	613	453	428	0
LIPK	213.285714	0	0	0	0	613	450	430	0
IL6	213.285714	0	0	0	0	611	517	365	0
CD99L2	213.142857	0	0	0	0	657	405	430	0
RAPGEF5	212.857143	0	0	0	0	583	460	447	0
TMUB2	212.285714	0	0	0	0	618	437	431	0
SLC36A1	212.285714	0	0	0	0	558	466	462	0
ATXN7L3	212.285714	0	0	0	0	618	437	431	0
VEPH1	212.142857	0	0	0	0	734	426	325	0
