Target_genes	SOX9|Average	SRX718108|hESC_derived_pancreatic_cells	SRX4065343|hESC_derived_retinal_cells	SRX4065344|hESC_derived_retinal_cells	SRX4065345|hESC_derived_retinal_cells	SRX4065346|hESC_derived_retinal_cells	SRX4065347|hESC_derived_retinal_cells	SRX4065348|hESC_derived_retinal_cells	SRX768290|HT-29	SRX359919|LoVo	SRX1510444|VCaP	STRING
SMIM41	169.800000	0	0	0	0	0	0	0	1536	162	0	0
ATG101	169.800000	0	0	0	0	0	0	0	1536	162	0	0
WASL	169.600000	0	0	0	0	0	0	0	1696	0	0	0
TMEM45A	169.500000	0	0	0	0	0	0	0	1413	0	282	0
PGP	169.200000	0	104	0	0	0	0	0	1259	139	190	0
E4F1	169.200000	0	104	0	0	0	0	0	1259	139	190	0
MLST8	166.300000	0	104	0	0	0	0	0	1259	110	190	0
BRICD5	166.300000	0	104	0	0	0	0	0	1259	110	190	0
HBD	166.100000	0	239	264	365	348	240	205	0	0	0	0
HBB	166.100000	0	239	264	365	348	240	205	0	0	0	0
TUBB4B	164.700000	0	112	0	0	0	0	100	965	104	366	0
FAM166A	164.700000	0	112	0	0	0	0	100	965	104	366	0
PIK3R3	164.300000	0	0	0	0	0	0	0	1340	206	97	0
NUCB2	164.200000	0	99	89	0	0	0	0	1143	0	311	0
PDXDC1	164.000000	0	0	0	0	0	0	0	1507	133	0	0
TTC9B	163.500000	0	0	132	0	0	0	110	1225	0	168	0
CNTD2	163.500000	0	0	132	0	0	0	110	1225	0	168	0
SLC25A42	162.000000	0	0	0	0	0	149	159	1029	0	283	0
PRKACA	162.000000	0	110	0	124	0	156	0	879	0	351	0
PLP2	161.500000	0	0	0	0	0	0	0	1615	0	0	0
MAGIX	161.500000	0	0	0	0	0	0	0	1615	0	0	0
TOP2A	161.300000	0	0	0	0	0	0	107	1309	110	87	0
FAM83D	161.100000	0	0	66	0	0	138	0	1130	0	277	0
UBA1	160.300000	0	0	0	0	0	0	0	1603	0	0	0
EED	160.100000	0	0	0	0	0	0	0	1481	120	0	0
TANGO2	158.200000	0	0	0	0	0	0	0	1362	0	220	0
CDON	158.200000	0	0	0	0	0	0	0	1582	0	0	0
ARVCF	158.200000	0	0	0	0	0	0	0	1362	0	220	0
TSKS	157.900000	0	0	0	0	0	0	0	1224	0	355	0
AP2A1	157.900000	0	0	0	0	0	0	0	1224	0	355	0
ANP32A	157.500000	0	0	0	0	0	0	0	1280	0	295	0
SHKBP1	156.900000	0	0	0	0	0	0	52	1306	0	211	0
GNB2	156.700000	0	0	0	0	0	0	0	1567	0	0	0
TRAF2	156.500000	0	94	0	0	0	0	0	1105	0	366	0
BZW2	156.200000	0	0	0	0	0	0	0	1427	135	0	0
ANKMY2	156.200000	0	0	0	0	0	0	0	1427	135	0	0
ATP6V0C	155.600000	0	0	0	0	0	0	0	1556	0	0	0
AMDHD2	155.600000	0	0	0	0	0	0	0	1556	0	0	0
SERTAD1	155.100000	0	0	0	0	0	0	0	1178	0	373	0
PSPN	155.100000	0	0	0	0	0	91	72	1232	0	156	0
ALKBH7	155.100000	0	0	0	0	0	91	72	1232	0	156	0
WDR38	153.200000	0	0	0	0	0	0	0	1532	0	0	0
RPL35	153.200000	0	0	0	0	0	0	0	1532	0	0	0
ARPC5L	153.200000	0	0	0	0	0	0	0	1532	0	0	0
PRKDC	152.500000	0	0	0	0	0	0	0	1525	0	0	0
MCM4	152.500000	0	0	0	0	0	0	0	1525	0	0	0
LOC102724770	150.800000	558	0	0	0	0	0	0	0	161	789	0
DGCR6	150.800000	558	0	0	0	0	0	0	0	161	789	0
USP15	150.600000	0	0	0	0	0	0	0	1356	150	0	0
ETV2	150.200000	0	0	0	0	0	0	0	1502	0	0	0
COX6B1	150.200000	0	0	0	0	0	0	0	1502	0	0	0
PRR3	148.600000	0	0	0	0	0	0	0	1375	111	0	0
GNL1	148.600000	0	0	0	0	0	0	0	1375	111	0	0
UIMC1	148.500000	0	0	0	0	0	0	0	1350	135	0	0
ARNTL	148.300000	0	0	0	0	0	0	0	1245	0	238	0
DBP	147.800000	0	0	0	0	0	0	0	1478	0	0	0
CA11	147.800000	0	0	0	0	0	0	0	1478	0	0	0
ZNF335	147.600000	0	0	0	0	0	0	0	1476	0	0	0
TAF6	147.000000	0	0	0	0	0	0	0	1470	0	0	0
SELENOW	147.000000	0	0	0	0	0	0	0	1470	0	0	0
MBLAC1	147.000000	0	0	0	0	0	0	0	1470	0	0	0
CNPY4	147.000000	0	0	0	0	0	0	0	1470	0	0	0
ANKRD39	146.700000	0	0	0	0	0	0	65	1131	0	271	0
ZMYM2	146.600000	0	0	0	0	0	0	0	1335	0	131	0
DNMT1	146.500000	0	0	0	0	0	0	0	1465	0	0	0
SOD2	146.200000	0	0	65	0	0	0	0	1087	0	310	0
UCHL3	145.600000	0	0	0	0	0	0	0	1456	0	0	0
COMMD6	145.600000	0	0	0	0	0	0	0	1456	0	0	0
HDAC1	144.600000	0	0	0	0	0	0	0	1206	143	97	0
ULK4	144.500000	0	0	0	0	0	0	0	1357	88	0	0
PCLAF	144.000000	0	0	0	0	0	0	0	1022	262	156	0
FBXO5	143.900000	0	0	109	87	0	0	0	884	0	359	0
H3C15	143.800000	0	74	85	0	0	0	71	554	452	202	0
H3C14	143.800000	0	74	85	0	0	0	71	554	452	202	0
H2AC19	143.800000	0	74	85	0	0	0	71	554	452	202	0
H2AC18	143.800000	0	74	85	0	0	0	71	554	452	202	0
PRKCI	143.700000	0	0	0	0	0	0	0	1437	0	0	0
STPG3	143.500000	0	0	0	0	0	0	0	965	104	366	0
H4C15	143.100000	0	74	85	0	0	0	71	547	452	202	0
H4C14	143.100000	0	74	85	0	0	0	71	547	452	202	0
SP2	142.800000	0	0	0	0	0	0	0	1225	100	103	0
UROS	142.200000	0	0	0	0	0	0	0	1215	207	0	0
BCCIP	142.200000	0	0	0	0	0	0	0	1215	207	0	0
C6orf226	141.800000	0	0	0	0	0	0	0	1193	225	0	0
ZNF519	140.200000	0	0	0	0	0	0	95	1156	0	151	0
RHBDD3	139.600000	0	0	0	0	0	0	0	1396	0	0	0
EWSR1	139.600000	0	0	0	0	0	0	0	1396	0	0	0
CDCA7L	139.600000	0	0	0	0	0	0	0	1396	0	0	0
TNNI3	139.300000	0	0	0	0	0	0	0	1266	0	127	0
PAXIP1	139.300000	0	0	0	0	0	0	0	1393	0	0	0
DNAAF3	139.300000	0	0	0	0	0	0	0	1266	0	127	0
SRGAP2C	138.000000	0	112	122	0	0	113	0	865	0	168	0
FAM72B	138.000000	0	112	122	0	0	113	0	865	0	168	0
TARDBP	137.800000	0	0	0	0	0	0	0	1281	97	0	0
RMND5B	137.700000	0	0	0	0	0	0	0	1377	0	0	0
KIF1B	137.700000	0	0	0	0	0	0	0	971	145	261	0
METTL25	137.000000	0	0	0	0	0	0	0	832	538	0	0
CCDC59	137.000000	0	0	0	0	0	0	0	832	538	0	0
TRAPPC6B	136.200000	0	0	0	0	0	0	0	1362	0	0	0
PNN	136.200000	0	0	0	0	0	0	0	1362	0	0	0
HOMEZ	135.900000	0	0	0	0	0	0	0	956	0	403	0
SRGAP2	135.200000	0	120	101	0	0	73	107	747	0	204	0
FAM72A	135.200000	0	120	101	0	0	73	107	747	0	204	0
GIT2	134.900000	0	0	0	0	0	0	0	1349	0	0	0
ANKRD13A	134.900000	0	0	0	0	0	0	0	1349	0	0	0
FRG2	133.900000	446	162	0	0	0	141	0	165	127	298	0
NDST2	133.700000	0	0	0	0	0	0	0	1337	0	0	0
HNRNPA1	133.400000	0	0	0	0	0	0	0	975	190	169	0
CBX5	133.400000	0	0	0	0	0	0	0	975	190	169	0
SLC34A3	133.100000	0	0	0	0	0	0	0	965	0	366	0
FUS	132.700000	0	0	0	0	0	0	0	1181	146	0	0
OGDH	132.400000	0	0	0	0	0	0	0	792	229	303	0
FANCI	131.700000	0	0	0	0	0	0	0	1202	115	0	0
TBC1D17	131.400000	0	0	0	0	0	0	0	1314	0	0	0
RNF103-CHMP3	131.400000	0	0	0	0	0	0	0	1103	0	211	0
RMND5A	131.400000	0	0	0	0	0	0	0	1103	0	211	0
PNKP	131.400000	0	0	0	0	0	0	0	1314	0	0	0
AKT1S1	131.400000	0	0	0	0	0	0	0	1314	0	0	0
LIN54	131.000000	0	0	0	0	0	0	0	1310	0	0	0
KCTD2	130.900000	0	0	0	0	0	0	0	1127	87	95	0
ATP5PD	130.900000	0	0	0	0	0	0	0	1127	87	95	0
SKA2	129.300000	0	0	0	0	0	0	0	1140	0	153	0
PRR11	129.300000	0	0	0	0	0	0	0	1140	0	153	0
ANKRD12	129.200000	0	0	0	0	0	0	0	1217	75	0	0
LRCH4	129.100000	0	0	0	0	0	0	0	1024	120	147	0
FBXO24	129.100000	0	0	0	0	0	0	0	1024	120	147	0
PTP4A2	128.900000	0	0	0	0	0	0	0	1289	0	0	0
MYL12A	128.800000	0	0	0	0	0	0	0	1155	133	0	0
NCDN	128.400000	0	0	0	0	0	0	0	1170	114	0	0
KIAA0319L	128.400000	0	0	0	0	0	0	0	1170	114	0	0
SUN3	128.100000	0	0	0	0	0	0	82	849	0	350	0
GOLGA6L10	128.100000	0	0	0	0	0	0	0	1002	113	166	0
C7orf57	128.100000	0	0	0	0	0	0	82	849	0	350	0
LUC7L2	127.700000	0	0	0	0	0	0	0	1046	231	0	0
YY1AP1	127.600000	0	0	0	0	0	0	0	1087	189	0	0
DAP3	127.600000	0	0	0	0	0	0	0	1087	189	0	0
EIF3B	127.500000	0	0	0	0	0	0	0	1275	0	0	0
FAM53C	127.100000	0	0	0	0	0	0	0	1160	111	0	0
CDC25C	127.100000	0	0	0	0	0	0	0	1160	111	0	0
PPP5D1	126.700000	0	0	0	0	0	0	0	1267	0	0	0
CALM3	126.700000	0	0	0	0	0	0	0	1267	0	0	0
PDK2	126.200000	0	0	0	0	0	0	0	994	0	268	0
CENPE	125.900000	0	0	0	0	0	0	0	1259	0	0	0
CASKIN1	125.900000	0	0	0	0	0	0	0	1149	110	0	0
UNG	125.000000	0	0	0	0	0	0	0	809	134	307	0
ALKBH2	125.000000	0	0	0	0	0	0	0	809	134	307	0
KMT5C	124.900000	0	0	0	0	0	0	0	1006	0	243	0
PANK2	124.700000	0	0	0	0	0	0	0	996	0	251	0
NLK	124.500000	0	0	0	0	0	0	0	1021	0	224	0
FRAT2	124.500000	0	0	0	0	0	0	0	1245	0	0	0
FDFT1	124.500000	0	0	0	69	0	117	147	516	84	312	0
ISOC2	124.300000	0	0	0	0	0	0	0	1079	0	164	0
COQ8A	124.000000	0	0	0	0	0	0	0	915	110	215	0
PPP1R13L	123.800000	0	0	0	0	0	0	0	1238	0	0	0
EFNB2	123.800000	0	0	0	0	0	0	0	995	0	243	0
CD3EAP	123.800000	0	0	0	0	0	0	0	1238	0	0	0
MRPS11	123.200000	0	0	0	0	0	0	0	1232	0	0	0
MRPL46	123.200000	0	0	0	0	0	0	0	1232	0	0	0
DISP3	123.000000	0	0	0	0	0	0	0	1230	0	0	0
TIGD5	122.500000	0	0	0	0	0	0	0	1225	0	0	0
EEF1D	122.500000	0	0	0	0	0	0	0	1225	0	0	0
OSBPL2	122.300000	0	0	0	0	0	0	0	1093	0	130	0
RRBP1	122.100000	0	0	0	0	0	0	0	944	0	277	0
CMC2	122.000000	0	0	0	0	0	0	0	1220	0	0	0
CENPN	122.000000	0	0	0	0	0	0	0	1220	0	0	0
ATP5MC1	121.400000	0	0	0	0	0	0	0	912	145	157	0
GPR84	121.000000	0	0	0	0	0	0	0	1120	90	0	0
PRKAG2	120.900000	0	0	0	0	0	0	0	1133	76	0	0
PMF1-BGLAP	120.800000	0	0	0	0	0	0	0	904	183	121	0
PMF1	120.800000	0	0	0	0	0	0	0	904	183	121	0
UBE2A	120.500000	0	0	0	0	0	0	0	1205	0	0	0
CXorf56	120.500000	0	0	0	0	0	0	0	1205	0	0	0
NFYC	120.400000	0	0	65	0	0	96	0	716	327	0	0
LEMD2	120.300000	0	0	0	0	0	0	0	1203	0	0	0
PTDSS1	120.000000	0	0	0	0	0	0	0	1200	0	0	0
MTERF3	120.000000	0	0	0	0	0	0	0	1200	0	0	0
GTPBP6	119.900000	251	135	90	0	73	201	152	207	90	0	0
DAZAP2	119.400000	0	0	0	0	0	0	0	663	146	385	0
ZNF687	119.100000	0	0	0	0	0	0	0	798	241	152	0
PRCP	119.100000	0	0	0	0	0	0	0	965	226	0	0
DDIAS	119.100000	0	0	0	0	0	0	0	965	226	0	0
KCTD7	118.600000	0	0	0	0	0	0	0	881	140	165	0
PPDPF	118.200000	0	0	0	0	0	0	0	1182	0	0	0
PLAG1	118.000000	0	0	0	0	0	0	0	751	127	302	0
CHCHD7	118.000000	0	0	0	0	0	0	0	751	127	302	0
BAZ2A	117.700000	0	0	0	0	0	0	0	1016	90	71	0
ATP5F1B	117.700000	0	0	0	0	0	0	0	1016	90	71	0
SYVN1	117.100000	0	0	0	0	0	0	0	1171	0	0	0
PRDM10	116.900000	0	0	0	0	0	0	0	1169	0	0	0
FRAT1	116.900000	0	0	0	0	0	0	0	1169	0	0	0
WDR62	116.700000	0	0	0	0	0	0	0	834	146	187	0
THAP8	116.700000	0	0	0	0	0	0	0	834	146	187	0
PMVK	116.400000	0	0	0	0	0	0	0	999	165	0	0
ZMYM5	116.100000	0	0	0	0	0	0	0	1006	0	155	0
FMC1-LUC7L2	116.100000	0	0	0	0	0	0	0	1046	115	0	0
FMC1	116.100000	0	0	0	0	0	0	0	1046	115	0	0
UBE2B	115.200000	0	0	0	0	0	0	0	1003	149	0	0
CDKL3	115.200000	0	0	0	0	0	0	0	1003	149	0	0
HNRNPC	115.100000	0	84	0	0	0	0	0	870	0	197	0
ACTN1	115.100000	0	0	0	0	0	0	0	792	0	359	0
HDGFL2	114.700000	0	0	0	0	0	0	0	1045	0	102	0
PIP4K2B	114.400000	0	0	0	0	0	0	0	1144	0	0	0
FOS	114.400000	0	0	0	0	0	0	0	1144	0	0	0
VBP1	113.000000	0	0	0	0	0	0	0	963	0	167	0
STX16	112.900000	0	0	0	0	0	0	0	998	131	0	0
CSNK2A1	112.900000	0	0	0	0	0	0	0	1006	123	0	0
UFSP2	112.700000	0	0	0	0	0	0	0	1127	0	0	0
C4orf47	112.700000	0	0	0	0	0	0	0	1127	0	0	0
MYT1	112.500000	0	0	0	0	0	0	0	1125	0	0	0
RBM42	112.300000	0	0	0	0	0	0	0	1123	0	0	0
AK2	112.300000	0	0	0	0	0	0	0	940	183	0	0
ZSWIM4	111.700000	0	0	0	0	0	0	0	812	0	305	0
TCP11L2	111.700000	0	0	0	0	0	0	0	1117	0	0	0
RPL19	111.700000	0	0	0	0	0	0	0	1117	0	0	0
CACNB1	111.700000	0	0	0	0	0	0	0	1117	0	0	0
GTF2IRD2	111.500000	0	0	0	0	0	0	0	976	0	139	0
C2orf42	111.500000	0	0	0	0	0	0	0	979	136	0	0
IQCE	111.400000	0	0	0	0	0	0	0	1114	0	0	0
BRAT1	111.400000	0	0	0	0	0	0	0	1114	0	0	0
TTBK2	111.300000	0	0	0	0	0	0	0	944	0	169	0
ATG16L2	111.300000	0	0	0	0	0	0	0	1113	0	0	0
GOLGA6L4	111.100000	0	0	0	0	0	0	0	1012	0	99	0
PKDCC	110.900000	0	0	0	0	0	0	0	980	129	0	0
CANX	110.600000	0	0	0	0	0	0	0	825	110	171	0
PIF1	110.400000	0	0	0	0	0	0	0	948	156	0	0
GTF2IRD2B	110.300000	0	0	0	0	0	0	0	918	0	185	0
RPN2	110.100000	0	0	0	0	0	0	0	966	0	135	0
PSIP1	110.100000	0	0	0	0	0	0	0	1101	0	0	0
MROH8	110.100000	0	0	0	0	0	0	0	966	0	135	0
SULT1A4	109.900000	0	0	0	0	0	0	0	940	159	0	0
SULT1A3	109.900000	0	0	0	0	0	0	0	940	159	0	0
SLX1B	109.900000	0	0	0	0	0	0	0	940	159	0	0
SLX1A	109.900000	0	0	0	0	0	0	0	940	159	0	0
BOLA2B	109.900000	0	0	0	0	0	0	0	940	159	0	0
BOLA2	109.900000	0	0	0	0	0	0	0	940	159	0	0
GATAD2B	109.700000	0	0	0	0	0	0	0	882	0	215	0
MYH14	108.900000	0	0	0	0	0	0	0	810	0	279	0
ATP8A1	108.700000	0	0	0	0	0	0	0	1087	0	0	0
OSBP	108.300000	0	0	0	0	0	0	0	882	0	201	0
ZFAND4	108.100000	0	0	0	0	0	106	0	728	0	247	0
ZNF574	108.000000	0	0	0	0	0	0	0	892	112	76	0
UQCRQ	107.900000	0	0	0	0	0	0	0	985	94	0	0
LEAP2	107.900000	0	0	0	0	0	0	0	985	94	0	0
GDF9	107.900000	0	0	0	0	0	0	0	985	94	0	0
ARHGAP19	107.900000	0	89	0	84	0	0	0	701	0	205	0
MADD	107.700000	0	0	0	0	0	0	0	1077	0	0	0
FANCF	107.700000	0	0	0	0	0	0	0	924	0	153	0
IVD	107.500000	0	0	0	0	0	0	0	801	158	116	0
SSNA1	107.300000	0	0	0	0	0	0	0	1073	0	0	0
ANAPC2	107.300000	0	0	0	0	0	0	0	1073	0	0	0
CNFN	107.000000	0	0	0	0	0	0	0	831	120	119	0
RPL22	106.600000	0	0	0	0	0	0	0	919	147	0	0
RNF207	106.600000	0	0	0	0	0	0	0	919	147	0	0
ATG9B	106.600000	0	0	0	0	0	0	0	751	208	107	0
ABCB8	106.600000	0	0	0	0	0	0	0	751	208	107	0
UFD1	106.500000	0	0	0	0	0	0	0	1065	0	0	0
CDC45	106.500000	0	0	0	0	0	0	0	1065	0	0	0
OLFML2A	106.400000	0	0	0	0	0	0	0	1064	0	0	0
NR6A1	106.400000	0	0	0	0	0	0	0	1064	0	0	0
BOLA2-SMG1P6	106.400000	0	0	0	0	0	0	0	940	124	0	0
TOM1	106.200000	0	72	0	0	0	99	0	669	0	222	0
MSANTD4	105.700000	0	0	0	0	0	0	0	964	0	93	0
DNAJC8	105.700000	0	0	0	0	0	0	101	710	117	129	0
ATP5IF1	105.700000	0	0	0	0	0	0	101	710	117	129	0
ING1	105.600000	0	0	0	0	0	0	0	641	0	415	0
CARS2	105.600000	0	0	0	0	0	0	0	641	0	415	0
OPA3	105.400000	0	0	0	0	0	0	0	948	0	106	0
MTRNR2L9	105.200000	351	0	0	0	0	0	0	266	435	0	0
RFX1	104.900000	0	0	0	0	0	0	0	762	0	287	0
HNRNPUL1	104.700000	0	0	0	0	0	0	0	1047	0	0	0
SLC25A38	104.600000	0	0	0	0	0	0	0	648	0	398	0
H2AZ2	104.500000	0	0	0	0	0	0	0	792	104	149	0
INAVA	104.000000	0	0	0	0	0	0	0	1040	0	0	0
FASN	103.900000	0	0	0	0	0	0	0	735	0	304	0
UQCRC2	103.800000	0	0	0	0	0	0	0	1038	0	0	0
PRMT1	103.600000	0	0	0	0	0	0	0	917	0	119	0
KATNB1	103.600000	0	0	0	0	0	0	0	1036	0	0	0
CSPP1	103.500000	0	0	0	0	0	0	0	1035	0	0	0
COPS5	103.500000	0	0	0	0	0	0	0	1035	0	0	0
GIPC1	103.400000	0	0	0	0	0	0	0	1034	0	0	0
DGCR8	103.300000	0	0	0	0	0	0	0	819	0	214	0
RAC3	103.200000	0	0	0	0	0	0	0	517	310	205	0
CDK16	103.200000	0	0	0	0	0	0	0	1032	0	0	0
LRPPRC	103.100000	0	0	0	0	0	0	0	1031	0	0	0
BAZ1B	103.100000	0	0	0	0	0	0	0	671	247	113	0
BCL6	102.300000	0	0	0	0	0	0	0	1023	0	0	0
MOCS3	101.600000	0	0	0	0	0	0	0	1016	0	0	0
DPM1	101.600000	0	0	0	0	0	0	0	1016	0	0	0
RLN2	101.400000	0	0	0	0	0	0	0	919	0	95	0
KMT2E	101.300000	0	0	0	0	0	0	0	580	219	214	0
SELENOH	101.200000	0	0	0	0	0	0	0	881	131	0	0
DGAT2	101.100000	0	0	0	0	0	0	0	1011	0	0	0
CCDC116	100.700000	0	0	0	0	0	0	0	530	123	354	0
SP1	100.500000	0	0	0	0	0	0	0	686	107	212	0
TYK2	100.200000	0	0	0	0	0	0	0	742	128	132	0
GOLGA6L3	99.800000	0	0	0	0	0	0	0	880	0	118	0
SIPA1L2	99.700000	0	0	0	0	0	0	0	708	0	289	0
TSPAN4	99.600000	0	0	0	0	0	0	0	996	0	0	0
POLR2L	99.600000	0	0	0	0	0	0	0	996	0	0	0
CD151	99.600000	0	0	0	0	0	0	0	996	0	0	0
ACAT2	99.600000	0	0	65	0	0	0	0	621	0	310	0
ENPP5	99.500000	0	0	0	0	0	0	0	734	0	261	0
SIGMAR1	99.400000	0	0	0	0	0	0	0	800	194	0	0
RBM27	99.400000	0	0	0	0	0	0	0	898	0	96	0
GALT	99.400000	0	0	0	0	0	0	0	800	194	0	0
YIF1A	99.200000	0	0	0	0	0	0	0	789	0	203	0
TMEM151A	99.200000	0	0	0	0	0	0	0	789	0	203	0
UCKL1	99.100000	198	0	0	0	0	0	0	793	0	0	0
NARF	99.100000	0	0	0	0	0	0	0	593	178	220	0
FOSL1	99.100000	0	0	0	0	0	0	0	991	0	0	0
CYBC1	99.100000	0	0	0	0	0	0	0	593	178	220	0
CCDC85B	99.100000	0	0	0	0	0	0	0	991	0	0	0
F11R	99.000000	0	0	0	0	0	0	0	699	87	204	0
PRR14	98.900000	0	0	0	0	0	0	0	893	96	0	0
FBRS	98.900000	0	0	0	0	0	0	0	893	96	0	0
CKAP5	98.900000	0	0	0	0	0	0	0	989	0	0	0
SIRT2	98.800000	0	0	0	0	0	0	0	833	0	155	0
NFKBIB	98.800000	0	0	0	0	0	0	0	833	0	155	0
FZR1	98.700000	0	0	0	0	0	0	0	987	0	0	0
DOHH	98.700000	0	0	0	0	0	0	0	987	0	0	0
CCT5	98.500000	0	0	0	0	0	0	0	774	211	0	0
ATPSCKMT	98.500000	0	0	0	0	0	0	0	774	211	0	0
ALDH4A1	98.500000	0	0	0	0	0	0	0	985	0	0	0
ZSWIM1	98.300000	0	0	0	0	0	0	0	896	0	87	0
SPATA25	98.300000	0	0	0	0	0	0	0	896	0	87	0
CTSA	98.300000	0	0	0	0	0	0	0	896	0	87	0
